actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
506,PT10M55.00S,2024-11-05T02:20:39.5Z,4,REGULAR,steal,,[],1630168,,,1610612737,77,105,2024-11-05T02:20:41Z,4990000,False,,,0,,O. Okongwu STEAL (2 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
507,PT10M52.00S,2024-11-05T02:20:42.5Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630168,6.1268068331143235,50.49019607843137,1610612737,79,105,2024-11-05T02:21:09Z,5000000,False,-2.0,5.0,1,left,O. Okongwu running DUNK (18 PTS),[1630168],1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,18.0,,,,,0.57,,,,,,,,
508,PT10M31.00S,2024-11-05T02:21:02.5Z,4,REGULAR,turnover,bad pass,[],1630202,,,1610612738,79,105,2024-11-05T02:21:06Z,5010000,False,,,0,,P. Pritchard bad pass TURNOVER (2 TO),"[1630202, 1630811]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2.0,Wallace,1630811.0,,,,,
509,PT10M31.00S,2024-11-05T02:21:02.5Z,4,REGULAR,steal,,[],1630811,,,1610612737,79,105,2024-11-05T02:21:04Z,5020000,False,,,0,,K. Wallace STEAL (1 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
510,PT10M23.00S,2024-11-05T02:21:11.2Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630811,13.87976346911958,47.794117647058826,1610612737,79,105,2024-11-05T02:22:22Z,5030000,False,11.0,78.0,1,left,MISS K. Wallace 7' driving floating Shot,[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,7.88,,,,,,,,
511,PT10M21.00S,2024-11-05T02:21:13.2Z,4,REGULAR,rebound,defensive,[],1628436,,,1610612738,79,105,2024-11-05T02:21:17Z,5040000,False,,,0,,L. Kornet REBOUND (Off:1 Def:4),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,510.0,5.0,4.0,1.0,,,,,,,,,
512,PT10M21.00S,2024-11-05T02:21:16.0Z,4,REGULAR,foul,personal,[],1630811,,,1610612738,79,105,2024-11-05T02:21:21Z,5050000,False,,,0,,K. Wallace personal FOUL (1 PF),"[1630811, 1628436]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,1204.0,1.0,0.0,Kornet,1628436.0,,,,,,,,,,,,,,,
514,PT10M05.00S,2024-11-05T02:21:44.5Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,83.26215505913272,44.6078431372549,1610612738,79,107,2024-11-05T02:21:49Z,5070000,False,-27.0,105.0,1,right,D. White 10' driving floating Jump Shot (19 PTS) (P. Pritchard 4 AST),"[1628401, 1630202]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,19.0,,,,,10.82,,,,P. Pritchard,1630202.0,4.0,,
516,PT09M45.00S,2024-11-05T02:22:04.0Z,4,REGULAR,turnover,lost ball,[],1630552,,,1610612737,79,107,2024-11-05T02:22:07Z,5090000,False,,,0,,J. Johnson lost ball TURNOVER (6 TO),"[1630552, 1630573]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,6.0,Hauser,1630573.0,,,,,
517,PT09M45.00S,2024-11-05T02:22:04.0Z,4,REGULAR,steal,,[],1630573,,,1610612738,79,107,2024-11-05T02:22:06Z,5100000,False,,,0,,S. Hauser STEAL (1 STL),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
518,PT09M40.00S,2024-11-05T02:22:09.1Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630573,75.50919842312747,12.009803921568627,1610612738,79,110,2024-11-05T02:22:14Z,5110000,False,-190.0,178.0,1,right,S. Hauser 26' 3PT running pullup (10 PTS) (D. White 6 AST),"[1630573, 1628401]",1610612738.0,BOS,running pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,,Made,10.0,,,,,26.01,,,,D. White,1628401.0,6.0,,
521,PT09M25.00S,2024-11-05T02:22:28.0Z,4,REGULAR,substitution,out,[],1629726,,,1610612737,79,110,2024-11-05T02:22:32Z,5140000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
522,PT09M25.00S,2024-11-05T02:22:28.0Z,4,REGULAR,substitution,in,[],1631223,,,1610612737,79,110,2024-11-05T02:22:32Z,5150000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
523,PT09M12.00S,2024-11-05T02:22:56.6Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,17.69053876478318,48.03921568627451,1610612737,79,110,2024-11-05T02:23:02Z,5160000,False,10.0,114.0,1,left,MISS J. Johnson 11' turnaround fadeaway Shot - blocked,"[1630552, 1641775]",1610612737.0,ATL,turnaround fadeaway,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.42,,,,,,,Walsh,1641775.0
524,PT09M12.00S,2024-11-05T02:22:56.6Z,4,REGULAR,block,,[],1641775,,,1610612737,79,110,2024-11-05T02:23:00Z,5170000,False,,,0,,J. Walsh BLOCK (1 BLK),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
525,PT09M09.00S,2024-11-05T02:22:59.6Z,4,REGULAR,rebound,defensive,[],1628436,,,1610612738,79,110,2024-11-05T02:23:02Z,5180000,False,,,0,,L. Kornet REBOUND (Off:1 Def:5),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,523.0,6.0,5.0,1.0,,,,,,,,,
526,PT08M51.00S,2024-11-05T02:23:17.5Z,4,REGULAR,3pt,Jump Shot,[],1630202,68.01905387647832,62.00980392156863,1610612738,79,110,2024-11-05T02:23:22Z,5190000,False,60.0,248.0,1,right,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.53,,,,,,,,
527,PT08M49.00S,2024-11-05T02:23:19.5Z,4,REGULAR,rebound,offensive,[],1628436,,,1610612738,79,110,2024-11-05T02:23:22Z,5200000,False,,,0,,L. Kornet REBOUND (Off:2 Def:5),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Center,,,,,,,,526.0,7.0,5.0,2.0,,,,,,,,,
528,PT08M47.00S,2024-11-05T02:23:21.8Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,91.27792378449409,4.901960784313726,1610612738,79,110,2024-11-05T02:23:27Z,5210000,False,-225.0,29.0,1,right,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.74,,,,,,,,
529,PT08M44.00S,2024-11-05T02:23:24.8Z,4,REGULAR,rebound,defensive,[],1630552,,,1610612737,79,110,2024-11-05T02:23:27Z,5220000,False,,,0,,J. Johnson REBOUND (Off:2 Def:9),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,528.0,11.0,9.0,2.0,,,,,,,,,
530,PT08M32.00S,2024-11-05T02:23:37.3Z,4,REGULAR,3pt,Jump Shot,[],1630552,31.09395532194481,35.53921568627451,1610612737,79,110,2024-11-05T02:23:43Z,5230000,False,72.0,240.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.05,,,,,,,,
531,PT08M27.00S,2024-11-05T02:23:42.3Z,4,REGULAR,rebound,defensive,[],1628401,,,1610612738,79,110,2024-11-05T02:23:47Z,5240000,False,,,0,,D. White REBOUND (Off:2 Def:4),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,530.0,6.0,4.0,2.0,,,,,,,,,
532,PT08M21.00S,2024-11-05T02:23:47.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,81.68528252299606,48.28431372549019,1610612738,79,112,2024-11-05T02:23:51Z,5250000,False,-9.0,120.0,1,right,D. White 12' pullup Jump Shot (21 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,21.0,,,,,12.0,,,,,,,,
533,PT08M21.00S,2024-11-05T02:23:52.2Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,79,112,2024-11-05T02:23:52Z,5260000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,out,[],1630552,,,1610612737,79,112,2024-11-05T02:26:16Z,5270000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
535,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,out,[],1630168,,,1610612737,79,112,2024-11-05T02:26:16Z,5280000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
536,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,out,[],1628401,,,1610612737,79,112,2024-11-05T02:26:16Z,5290000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
537,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,out,[],1630573,,,1610612737,79,112,2024-11-05T02:26:16Z,5300000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
538,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,in,[],1631230,,,1610612737,79,112,2024-11-05T02:26:16Z,5310000,False,,,0,,SUB in: D. Barlow,[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
539,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,in,[],1631243,,,1610612737,79,112,2024-11-05T02:26:16Z,5320000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
540,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,in,[],1630531,,,1610612737,79,112,2024-11-05T02:26:16Z,5330000,False,,,0,,SUB in: J. Springer,[1630531],1610612738.0,BOS,,,,Springer,J. Springer,,,,,,,,,,,,,,,,,,,,,,,,,,
541,PT08M21.00S,2024-11-05T02:25:46.9Z,4,REGULAR,substitution,in,[],1631248,,,1610612737,79,112,2024-11-05T02:26:16Z,5340000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
542,PT08M12.00S,2024-11-05T02:26:46.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,7.178055190538765,54.41176470588235,1610612737,79,112,2024-11-05T02:26:52Z,5350000,False,-22.0,15.0,1,left,MISS Z. Risacher driving Layup,[1642258],1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.67,,,,,,,,
544,PT08M08.00S,2024-11-05T02:26:50.7Z,4,REGULAR,rebound,defensive,[],1641775,,,1610612738,79,112,2024-11-05T02:26:52Z,5370000,False,,,0,,J. Walsh REBOUND (Off:1 Def:3),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,,,,,,542.0,4.0,3.0,1.0,,,,,,,,,
545,PT07M56.00S,2024-11-05T02:27:06.3Z,4,REGULAR,foul,personal,[],1631223,,,1610612738,79,112,2024-11-05T02:27:13Z,5380000,False,,,0,,D. Roddy personal FOUL (1 PF),"[1631223, 1641775]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,200832.0,1.0,0.0,Walsh,1641775.0,,,,,,,,,,,,,,,
547,PT07M46.00S,2024-11-05T02:27:32.2Z,4,REGULAR,turnover,bad pass,[],1630202,,,1610612738,79,112,2024-11-05T02:27:37Z,5400000,False,,,0,,P. Pritchard bad pass TURNOVER (3 TO),"[1630202, 1630811]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,3.0,Wallace,1630811.0,,,,,
548,PT07M46.00S,2024-11-05T02:27:32.2Z,4,REGULAR,steal,,[],1630811,,,1610612737,79,112,2024-11-05T02:27:35Z,5410000,False,,,0,,K. Wallace STEAL (2 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
549,PT07M42.00S,2024-11-05T02:27:36.2Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642258,7.30946123521682,50.73529411764706,1610612737,81,112,2024-11-05T02:27:42Z,5420000,False,-4.0,16.0,1,left,Z. Risacher running DUNK (13 PTS) (D. Roddy 2 AST),"[1642258, 1631223]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,13.0,,,,,1.66,,,,D. Roddy,1631223.0,2.0,,
551,PT07M22.00S,2024-11-05T02:27:55.9Z,4,REGULAR,3pt,Jump Shot,[],1630531,92.32917214191852,3.6764705882352944,1610612738,81,112,2024-11-05T02:28:02Z,5440000,False,-232.0,20.0,1,right,MISS J. Springer 3PT,[1630531],1610612738.0,BOS,,,,Springer,J. Springer,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,23.24,,,,,,,,
552,PT07M18.00S,2024-11-05T02:27:59.9Z,4,REGULAR,rebound,defensive,[],1631243,,,1610612737,81,112,2024-11-05T02:28:02Z,5450000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Left Corner 3,24+ Left,,,,,,,,551.0,1.0,1.0,0.0,,,,,,,,,
553,PT07M13.00S,2024-11-05T02:28:04.8Z,4,REGULAR,3pt,Jump Shot,[],1631243,29.517082785808146,27.450980392156865,1610612737,81,112,2024-11-05T02:28:13Z,5460000,False,113.0,225.0,1,left,MISS M. Gueye 25' 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.16,,,,,,,,
554,PT07M10.00S,2024-11-05T02:28:07.8Z,4,REGULAR,rebound,defensive,[],1630531,,,1610612738,81,112,2024-11-05T02:28:13Z,5470000,False,,,0,,J. Springer REBOUND (Off:0 Def:1),[1630531],1610612738.0,BOS,,,,Springer,J. Springer,,,,,Above the Break 3,24+ Right Center,,,,,,,,553.0,1.0,1.0,0.0,,,,,,,,,
555,PT07M02.00S,2024-11-05T02:28:16.0Z,4,REGULAR,2pt,Jump Shot,[],1630202,94.43166885676742,69.36274509803921,1610612738,81,114,2024-11-05T02:28:20Z,5480000,False,97.0,0.0,1,right,P. Pritchard 9' step back Jump Shot (16 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Right,,,,,,Made,16.0,,,,,9.68,,,,,,,,
556,PT06M46.00S,2024-11-05T02:28:31.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,19.136005256241788,64.2156862745098,1610612737,81,114,2024-11-05T02:28:39Z,5490000,False,-71.0,127.0,1,left,MISS D. Roddy 14' turnaround fadeaway Shot,[1631223],1610612737.0,ATL,turnaround fadeaway,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,14.59,,,,,,,,
557,PT06M42.00S,2024-11-05T02:28:35.3Z,4,REGULAR,rebound,defensive,[],1631248,,,1610612738,81,114,2024-11-05T02:28:39Z,5500000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,556.0,1.0,1.0,0.0,,,,,,,,,
558,PT06M35.00S,2024-11-05T02:28:42.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.51182654402102,51.470588235294116,1610612738,81,116,2024-11-05T02:33:02Z,5510000,False,7.0,8.0,1,right,P. Pritchard driving Layup (18 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,Made,18.0,,,,,1.13,,,,,,,,
559,PT06M26.00S,2024-11-05T02:28:51.4Z,4,REGULAR,turnover,lost ball,[],1630811,,,1610612737,81,116,2024-11-05T02:28:57Z,5520000,False,,,0,,K. Wallace lost ball TURNOVER (2 TO),"[1630811, 1630531]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Springer,1630531.0,,,,,
560,PT06M26.00S,2024-11-05T02:28:51.4Z,4,REGULAR,steal,,[],1630531,,,1610612738,81,116,2024-11-05T02:28:54Z,5530000,False,,,0,,J. Springer STEAL (1 STL),[1630531],1610612738.0,BOS,,,,Springer,J. Springer,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
561,PT06M23.00S,2024-11-05T02:28:55.1Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630531,92.19776609724047,51.71568627450981,1610612738,81,118,2024-11-05T02:29:01Z,5540000,False,9.0,21.0,1,right,J. Springer running DUNK (2 PTS),[1630531],1610612738.0,BOS,running,,,Springer,J. Springer,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,2.25,,,,,,,,
562,PT05M58.00S,2024-11-05T02:29:20.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631230,17.69053876478318,45.588235294117645,1610612737,81,118,2024-11-05T02:29:26Z,5550000,False,22.0,114.0,1,left,MISS D. Barlow 11' driving floating Shot,[1631230],1610612737.0,ATL,driving floating,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.59,,,,,,,,
563,PT05M54.00S,2024-11-05T02:29:23.3Z,4,REGULAR,rebound,defensive,[],1630202,,,1610612738,81,118,2024-11-05T02:29:23Z,5560000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:3),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,562.0,3.0,3.0,0.0,,,,,,,,,
564,PT05M53.00S,2024-11-05T02:29:26.2Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628436,92.72339027595268,51.225490196078425,1610612738,81,118,2024-11-05T02:29:54Z,5570000,False,6.0,16.0,1,right,MISS L. Kornet running Layup - blocked,"[1628436, 1630811]",1610612738.0,BOS,running,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.7,,,,,,,Wallace,1630811.0
565,PT05M53.00S,2024-11-05T02:29:26.2Z,4,REGULAR,block,,[],1630811,,,1610612738,81,118,2024-11-05T02:29:31Z,5580000,False,,,0,,K. Wallace BLOCK (1 BLK),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
566,PT05M52.00S,2024-11-05T02:29:27.2Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612737,81,118,2024-11-05T02:29:54Z,5590000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,564.0,,,,,,,,,,,,
568,PT05M52.00S,2024-11-05T02:29:36.0Z,4,REGULAR,substitution,out,[],1630202,,,1610612737,81,118,2024-11-05T02:29:45Z,5610000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
569,PT05M52.00S,2024-11-05T02:29:36.0Z,4,REGULAR,substitution,out,[],1628436,,,1610612737,81,118,2024-11-05T02:29:45Z,5620000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
570,PT05M52.00S,2024-11-05T02:29:36.0Z,4,REGULAR,substitution,in,[],1631120,,,1610612737,81,118,2024-11-05T02:29:45Z,5630000,False,,,0,,SUB in: J. Davison,[1631120],1610612738.0,BOS,,,,Davison,J. Davison,,,,,,,,,,,,,,,,,,,,,,,,,,
571,PT05M52.00S,2024-11-05T02:29:36.0Z,4,REGULAR,substitution,in,[],1630214,,,1610612737,81,118,2024-11-05T02:29:45Z,5640000,False,,,0,,SUB in: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT05M42.00S,2024-11-05T02:29:59.1Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630811,18.610381077529567,48.03921568627451,1610612737,83,118,2024-11-05T02:30:09Z,5650000,False,10.0,122.0,1,left,K. Wallace 12' driving floating Jump Shot (6 PTS),[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,6.0,,,,,12.28,,,,,,,,
573,PT05M26.00S,2024-11-05T02:30:15.7Z,4,REGULAR,turnover,lost ball,[],1631120,,,1610612738,83,118,2024-11-05T02:30:19Z,5660000,False,,,0,,J. Davison lost ball TURNOVER (1 TO),"[1631120, 1630811]",1610612738.0,BOS,,,,Davison,J. Davison,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Wallace,1630811.0,,,,,
574,PT05M26.00S,2024-11-05T02:30:15.7Z,4,REGULAR,steal,,[],1630811,,,1610612737,83,118,2024-11-05T02:30:17Z,5670000,False,,,0,,K. Wallace STEAL (3 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
575,PT05M20.00S,2024-11-05T02:30:22.6Z,4,REGULAR,foul,personal,['2freethrow'],1641775,,,1610612737,83,118,2024-11-05T02:30:43Z,5680000,False,,,0,,J. Walsh shooting personal FOUL (1 PF) (Barlow 2 FT),"[1641775, 1631230]",1610612738.0,BOS,shooting,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Barlow,1631230.0,,,,,,,,,,,,,,,
577,PT05M20.00S,2024-11-05T02:30:51.7Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1631230,,,1610612737,83,118,2024-11-05T02:30:51Z,5700000,False,,,0,,MISS D. Barlow Free Throw 1 of 2,[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
578,PT05M20.00S,2024-11-05T02:30:51.7Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,83,118,2024-11-05T02:30:51Z,5710000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,
579,PT05M20.00S,2024-11-05T02:31:07.9Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1631230,,,1610612737,84,118,2024-11-05T02:31:07Z,5720000,False,,,0,,D. Barlow Free Throw 2 of 2 (1 PTS),[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
580,PT05M01.00S,2024-11-05T02:31:31.5Z,4,REGULAR,turnover,lost ball,[],1641775,,,1610612738,84,118,2024-11-05T02:31:38Z,5730000,False,,,0,,J. Walsh lost ball TURNOVER (1 TO),"[1641775, 1630811]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Wallace,1630811.0,,,,,
581,PT05M01.00S,2024-11-05T02:31:31.5Z,4,REGULAR,steal,,[],1630811,,,1610612737,84,118,2024-11-05T02:31:33Z,5740000,False,,,0,,K. Wallace STEAL (4 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
641,PT04M55.00S,2024-11-05T02:31:41.0Z,4,REGULAR,turnover,bad pass,[],1631243,,,1610612737,84,118,2024-11-05T02:44:58Z,5775000,False,,,0,,M. Gueye bad pass TURNOVER (1 TO),"[1631243, 1631120]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Davison,1631120.0,,,,,
642,PT04M55.00S,2024-11-05T02:31:41.0Z,4,REGULAR,steal,,[],1631120,,,1610612738,84,118,2024-11-05T02:44:58Z,5777500,False,,,0,,J. Davison STEAL (1 STL),[1631120],1610612738.0,BOS,,,,Davison,J. Davison,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
585,PT04M49.00S,2024-11-05T02:31:44.4Z,4,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630531,85.10183968462549,94.11764705882352,1610612738,84,118,2024-11-05T02:44:58Z,5780000,False,221.0,88.0,1,right,MISS J. Springer running pullup 3PT,[1630531],1610612738.0,BOS,running pullup,,,Springer,J. Springer,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.73,,,,,,,,
586,PT04M46.00S,2024-11-05T02:31:47.1Z,4,REGULAR,rebound,offensive,[],1631248,,,1610612738,84,118,2024-11-05T02:31:47Z,5790000,False,,,0,,B. Scheierman REBOUND (Off:1 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Right Corner 3,24+ Right,,,,,,,,585.0,2.0,1.0,1.0,,,,,,,,,
