actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
425,PT06M33.00S,2026-01-16T03:05:20.5Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,91,62,2026-01-16T03:05:23Z,4230000,False,,,0,,D. Powell REBOUND (Off:0 Def:4),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,424.0,,,4.0,4.0,0.0,,,,,
427,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,out,[],1630702,,,1610612742,91,62,2026-01-16T03:05:50Z,4250000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,out,[],203939,,,1610612742,91,62,2026-01-16T03:05:50Z,4260000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
429,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,out,[],1642262,,,1610612742,91,62,2026-01-16T03:05:50Z,4270000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
430,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,out,[],1642268,,,1610612742,91,62,2026-01-16T03:05:50Z,4280000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
431,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,out,[],1642846,,,1610612742,91,62,2026-01-16T03:05:50Z,4290000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
432,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,in,[],1630619,,,1610612742,91,62,2026-01-16T03:05:50Z,4300000,False,,,0,,SUB in: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
433,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,in,[],202691,,,1610612742,91,62,2026-01-16T03:05:50Z,4310000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
434,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,in,[],1642383,,,1610612742,91,62,2026-01-16T03:05:50Z,4320000,False,,,0,,SUB in: W. Clayton Jr.,[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,in,[],1641729,,,1610612742,91,62,2026-01-16T03:05:50Z,4330000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT06M28.00S,2026-01-16T03:05:29.9Z,3,REGULAR,substitution,in,[],203937,,,1610612742,91,62,2026-01-16T03:05:50Z,4340000,False,,,0,,SUB in: K. Anderson,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT06M19.00S,2026-01-16T03:06:02.3Z,3,REGULAR,2pt,Jump Shot,[],1630230,73.53810775295663,76.7156862745098,1610612742,91,62,2026-01-16T04:38:38Z,4350000,False,134.0,196.0,1,right,MISS N. Marshall 23' Jump Shot - blocked,"[1630230, 1641707]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,23.74,Missed,,,,,,Hendricks,1641707.0,,,,,,,,
438,PT06M19.00S,2026-01-16T03:06:02.3Z,3,REGULAR,block,,[],1641707,,,1610612742,91,62,2026-01-16T03:06:05Z,4360000,False,,,0,,T. Hendricks BLOCK (1 BLK),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
439,PT06M15.00S,2026-01-16T03:06:06.3Z,3,REGULAR,rebound,defensive,[],1641729,,,1610612762,91,62,2026-01-16T03:06:06Z,4370000,False,,,0,,B. Sensabaugh REBOUND (Off:2 Def:2),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,437.0,,,4.0,2.0,2.0,,,,,
440,PT06M12.00S,2026-01-16T03:06:09.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1641707,4.155716162943495,95.83333333333334,1610612762,91,62,2026-01-16T03:06:15Z,4380000,False,-229.0,-13.0,1,left,MISS T. Hendricks running 3PT,[1641707],1610612762.0,UTA,running,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,,,,22.96,Missed,,,,,,,,,,,,,,,
441,PT06M09.00S,2026-01-16T03:06:13.8Z,3,REGULAR,rebound,offensive,[],203937,,,1610612762,91,62,2026-01-16T03:06:13Z,4390000,False,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,Left Corner 3,24+ Left,,,,,,,,,,440.0,,,2.0,1.0,1.0,,,,,
442,PT06M09.00S,2026-01-16T03:06:14.5Z,3,REGULAR,foul,personal,['2freethrow'],1630314,,,1610612762,91,62,2026-01-16T03:06:25Z,4400000,False,,,0,,B. Williams shooting personal FOUL (2 PF) (Anderson 2 FT),"[1630314, 203937]",1610612742.0,DAL,shooting,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,2.0,0.0,Anderson,203937.0
444,PT06M09.00S,2026-01-16T03:06:52.0Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],203937,,,1610612762,91,62,2026-01-16T03:07:10Z,4420000,False,,,0,,MISS K. Anderson Free Throw 1 of 2,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
445,PT06M09.00S,2026-01-16T03:06:52.0Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,91,62,2026-01-16T03:07:10Z,4430000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,444.0,,,,,,,,,,
446,PT06M09.00S,2026-01-16T03:06:52.0Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],203937,,,1610612762,91,62,2026-01-16T03:07:10Z,4440000,False,,,0,,MISS K. Anderson Free Throw 2 of 2,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
447,PT06M07.00S,2026-01-16T03:06:54.0Z,3,REGULAR,rebound,defensive,[],1630619,,,1610612742,91,62,2026-01-16T03:07:10Z,4450000,False,,,0,,M. Cisse REBOUND (Off:5 Def:4),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,446.0,,,9.0,4.0,5.0,,,,,
448,PT05M56.00S,2026-01-16T03:07:20.4Z,3,REGULAR,3pt,Jump Shot,[],202691,71.30420499342969,74.75490196078431,1610612742,91,62,2026-01-16T03:07:27Z,4460000,False,124.0,217.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,25.0,Missed,,,,,,,,,,,,,,,
449,PT05M55.00S,2026-01-16T03:07:21.4Z,3,REGULAR,rebound,defensive,[],1642383,,,1610612762,91,62,2026-01-16T03:25:41Z,4470000,False,,,0,,W. Clayton Jr. REBOUND (Off:0 Def:1),[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,448.0,,,1.0,1.0,0.0,,,,,
574,PT05M54.00S,2026-01-16T03:07:23.1Z,3,REGULAR,turnover,lost ball,[],1642383,,,1610612762,91,62,2026-01-16T03:27:22Z,4475000,False,,,0,,W. Clayton Jr. lost ball TURNOVER (2 TO),"[1642383, 1630230]",1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,Restricted Area,0-8 Center,2.0,Marshall,1630230.0,,,,,,,,,,,,,,,,,
575,PT05M54.00S,2026-01-16T03:07:23.1Z,3,REGULAR,steal,,[],1630230,,,1610612742,91,62,2026-01-16T03:27:22Z,4477500,False,,,0,,N. Marshall STEAL (3 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
450,PT05M51.00S,2026-01-16T03:07:25.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628997,93.64323258869908,50.98039215686274,1610612742,93,62,2026-01-16T03:27:22Z,4480000,False,5.0,7.0,1,right,C. Martin driving reverse Layup (8 PTS),[1628997],1610612742.0,DAL,driving reverse,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,0.88,Made,8.0,,,,,,,,,,,,,,
451,PT05M45.00S,2026-01-16T03:07:36.0Z,3,REGULAR,foul,personal,[],1628997,,,1610612762,93,62,2026-01-16T03:07:44Z,4490000,False,,,0,,C. Martin personal FOUL (3 PF),"[1628997, 1642383]",1610612742.0,DAL,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1627526.0,3.0,0.0,Clayton Jr.,1642383.0
453,PT05M45.00S,2026-01-16T03:07:45.3Z,3,REGULAR,substitution,out,[],1630314,,,1610612762,93,62,2026-01-16T03:07:53Z,4510000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
454,PT05M45.00S,2026-01-16T03:07:45.3Z,3,REGULAR,substitution,in,[],1642948,,,1610612762,93,62,2026-01-16T03:07:53Z,4520000,False,,,0,,SUB in: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
456,PT05M37.00S,2026-01-16T03:08:05.4Z,3,REGULAR,3pt,Jump Shot,[],1641707,8.754927726675426,2.696078431372549,1610612762,93,62,2026-01-16T03:08:08Z,4540000,False,237.0,30.0,1,left,MISS T. Hendricks 3PT,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Right Corner 3,24+ Right,,,,23.84,Missed,,,,,,,,,,,,,,,
457,PT05M34.00S,2026-01-16T03:08:08.4Z,3,REGULAR,rebound,defensive,[],1630619,,,1610612742,93,62,2026-01-16T03:08:08Z,4550000,False,,,0,,M. Cisse REBOUND (Off:5 Def:5),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Right Corner 3,24+ Right,,,,,,,,,,456.0,,,10.0,5.0,5.0,,,,,
458,PT05M22.00S,2026-01-16T03:08:20.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,92.46057818659659,52.450980392156865,1610612742,93,62,2026-01-16T03:08:24Z,4560000,False,12.0,18.0,1,right,MISS N. Marshall driving Layup,[1630230],1610612742.0,DAL,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,2.21,Missed,,,,,,,,,,,,,,,
459,PT05M21.00S,2026-01-16T03:08:21.0Z,3,REGULAR,rebound,offensive,[],1630230,,,1610612742,93,62,2026-01-16T03:08:24Z,4570000,False,,,0,,N. Marshall REBOUND (Off:1 Def:5),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,458.0,,,6.0,5.0,1.0,,,,,
460,PT05M19.00S,2026-01-16T03:08:23.5Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,88.78120893561103,95.34313725490196,1610612742,96,62,2026-01-16T03:08:27Z,4580000,False,227.0,53.0,1,right,C. Martin 3PT  (11 PTS) (N. Marshall 4 AST),"[1628997, 1630230]",1610612742.0,DAL,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,23.28,Made,11.0,N. Marshall,1630230.0,4.0,,,,,,,,,,,
462,PT05M05.00S,2026-01-16T03:08:37.5Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203937,5.601182654402102,49.26470588235294,1610612762,96,64,2026-01-16T03:18:08Z,4600000,False,4.0,0.0,1,left,K. Anderson cutting DUNK (3 PTS) (K. George 3 AST),"[203937, 1641718]",1610612762.0,UTA,cutting,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,0.37,Made,3.0,K. George,1641718.0,3.0,,,,,,,,,,,
464,PT04M48.00S,2026-01-16T03:08:54.6Z,3,REGULAR,3pt,Jump Shot,[],1642948,69.20170827858082,64.70588235294117,1610612742,96,64,2026-01-16T03:09:01Z,4620000,False,74.0,237.0,1,right,MISS R. Nembhard 24' 3PT,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Center,,,,24.81,Missed,,,,,,,,,,,,,,,
465,PT04M47.00S,2026-01-16T03:08:55.6Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612742,96,64,2026-01-16T03:09:01Z,4630000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,464.0,,,,,,,,,,
466,PT04M47.00S,2026-01-16T03:09:00.5Z,3,REGULAR,foul,personal,[],203937,,,1610612742,96,64,2026-01-16T03:09:16Z,4640000,False,,,0,,K. Anderson loose ball personal FOUL (1 PF),"[203937, 1630619]",1610612762.0,UTA,loose ball,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Cisse,1630619.0
468,PT04M47.00S,2026-01-16T03:09:11.8Z,3,REGULAR,substitution,out,[],1630230,,,1610612742,96,64,2026-01-16T03:09:27Z,4660000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT04M47.00S,2026-01-16T03:09:11.8Z,3,REGULAR,substitution,in,[],1642939,,,1610612742,96,64,2026-01-16T03:09:27Z,4670000,False,,,0,,SUB in: M. Kelly,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT04M41.00S,2026-01-16T03:09:33.7Z,3,REGULAR,turnover,bad pass,[],1642948,,,1610612742,96,64,2026-01-16T03:09:36Z,4680000,False,,,0,,R. Nembhard bad pass TURNOVER (1 TO),"[1642948, 1641707]",1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,1.0,Hendricks,1641707.0,,,,,,,,,,,,,,,,,
471,PT04M41.00S,2026-01-16T03:09:33.7Z,3,REGULAR,steal,,[],1641707,,,1610612762,96,64,2026-01-16T03:09:35Z,4690000,False,,,0,,T. Hendricks STEAL (1 STL),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
472,PT04M36.00S,2026-01-16T03:09:37.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641718,5.601182654402102,46.81372549019608,1610612762,96,66,2026-01-16T03:09:42Z,4700000,False,16.0,0.0,1,left,K. George running Layup (17 PTS) (T. Hendricks 1 AST),"[1641718, 1641707]",1610612762.0,UTA,running,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,1.59,Made,17.0,T. Hendricks,1641707.0,1.0,,,,,,,,,,,
474,PT04M22.00S,2026-01-16T03:09:51.3Z,3,REGULAR,3pt,Jump Shot,[],1642939,95.6143232588699,2.941176470588235,1610612742,99,66,2026-01-16T03:09:55Z,4720000,False,-235.0,-11.0,1,right,M. Kelly 3PT  (6 PTS) (C. Martin 5 AST),"[1642939, 1628997]",1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Left Corner 3,24+ Left,,,,23.56,Made,6.0,C. Martin,1628997.0,5.0,,,,,,,,,,,
476,PT04M10.00S,2026-01-16T03:10:04.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,12.302890932982917,49.754901960784316,1610612762,99,68,2026-01-16T03:17:35Z,4740000,False,1.0,63.0,1,left,K. Anderson 6' floating Jump Shot (5 PTS) (W. Clayton Jr. 4 AST),"[203937, 1642383]",1610612762.0,UTA,floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,6.31,Made,5.0,W. Clayton Jr.,1642383.0,4.0,,,,,,,,,,,
478,PT04M08.00S,2026-01-16T03:10:12.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,99,68,2026-01-16T03:10:12Z,4760000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,PT04M08.00S,2026-01-16T03:10:16.7Z,3,REGULAR,substitution,out,[],1628997,,,1610612742,99,68,2026-01-16T03:13:14Z,4770000,False,,,0,,SUB out: C. Martin,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
480,PT04M08.00S,2026-01-16T03:10:16.7Z,3,REGULAR,substitution,in,[],1630526,,,1610612742,99,68,2026-01-16T03:13:14Z,4780000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
481,PT04M01.00S,2026-01-16T03:13:23.5Z,3,REGULAR,foul,offensive,[],1630526,,,1610612742,99,68,2026-01-16T03:13:28Z,4790000,False,,,0,,J. Robinson-Earl off-the-ball offensive FOUL (1 PF),"[1630526, 1641718]",1610612742.0,DAL,off-the-ball,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,George,1641718.0
483,PT04M01.00S,2026-01-16T03:13:23.5Z,3,REGULAR,turnover,offensive foul,[],1630526,,,1610612742,99,68,2026-01-16T03:13:23Z,4810000,False,,,0,,J. Robinson-Earl offensive foul TURNOVER (1 TO),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Center,1.0,,,,,,,,,,,,,,,1151.0,,,,
484,PT03M50.00S,2026-01-16T03:13:52.8Z,3,REGULAR,turnover,traveling,[],1641718,,,1610612762,99,68,2026-01-16T03:13:56Z,4820000,False,,,0,,K. George traveling TURNOVER (4 TO),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,4.0,,,,,,,,,,,,,,,1830.0,,,,
485,PT03M33.00S,2026-01-16T03:14:17.1Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642948,83.26215505913272,43.872549019607845,1610612742,99,68,2026-01-16T03:14:20Z,4830000,False,-31.0,105.0,1,right,MISS R. Nembhard 10' driving floating Shot,[1642948],1610612742.0,DAL,driving floating,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,10.92,Missed,,,,,,,,,,,,,,,
486,PT03M31.00S,2026-01-16T03:14:19.1Z,3,REGULAR,rebound,defensive,[],1641707,,,1610612762,99,68,2026-01-16T03:14:20Z,4840000,False,,,0,,T. Hendricks REBOUND (Off:0 Def:1),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,485.0,,,1.0,1.0,0.0,,,,,
487,PT03M15.00S,2026-01-16T03:14:34.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641707,5.863994743758213,53.92156862745098,1610612762,99,68,2026-01-16T03:19:24Z,4850000,False,-20.0,3.0,1,left,MISS T. Hendricks driving floating bank Shot - blocked,"[1641707, 1630619]",1610612762.0,UTA,driving floating bank,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,1.98,Missed,,,,,,Cisse,1630619.0,,,,,,,,
488,PT03M15.00S,2026-01-16T03:14:34.9Z,3,REGULAR,block,,[],1630619,,,1610612762,99,68,2026-01-16T03:14:37Z,4860000,False,,,0,,M. Cisse BLOCK (1 BLK),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
489,PT03M13.00S,2026-01-16T03:14:36.9Z,3,REGULAR,rebound,defensive,[],1630619,,,1610612742,99,68,2026-01-16T03:14:38Z,4870000,False,,,0,,M. Cisse REBOUND (Off:5 Def:6),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,,,,,487.0,,,11.0,6.0,5.0,,,,,
490,PT03M07.00S,2026-01-16T03:14:44.4Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630526,93.51182654402102,48.28431372549019,1610612742,101,68,2026-01-16T03:14:49Z,4880000,False,-9.0,8.0,1,right,J. Robinson-Earl driving DUNK (4 PTS) (R. Nembhard 4 AST),"[1630526, 1642948]",1610612742.0,DAL,driving,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,1.21,Made,4.0,R. Nembhard,1642948.0,4.0,,,,,,,,,,,
492,PT02M50.00S,2026-01-16T03:15:01.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1641707,5.995400788436268,51.470588235294116,1610612762,101,70,2026-01-16T03:15:04Z,4900000,False,-7.0,4.0,1,left,T. Hendricks cutting Layup (5 PTS) (K. Anderson 1 AST),"[1641707, 203937]",1610612762.0,UTA,cutting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,0.84,Made,5.0,K. Anderson,203937.0,1.0,,,,,,,,,,,
494,PT02M41.00S,2026-01-16T03:15:08.8Z,3,REGULAR,3pt,Jump Shot,[],202691,74.98357424441524,14.705882352941178,1610612742,104,70,2026-01-16T03:15:11Z,4920000,False,-176.0,183.0,1,right,K. Thompson 25' 3PT pullup (18 PTS) (R. Nembhard 5 AST),"[202691, 1642948]",1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,25.4,Made,18.0,R. Nembhard,1642948.0,5.0,,,,,,,,,,,
496,PT02M31.00S,2026-01-16T03:15:19.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,8.623521681997373,50.0,1610612762,104,70,2026-01-16T03:15:23Z,4940000,False,0.0,29.0,1,left,MISS K. Anderson driving floating Shot,[203937],1610612762.0,UTA,driving floating,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,2.86,Missed,,,,,,,,,,,,,,,
497,PT02M29.00S,2026-01-16T03:15:21.6Z,3,REGULAR,rebound,defensive,[],1630619,,,1610612742,104,70,2026-01-16T03:15:23Z,4950000,False,,,0,,M. Cisse REBOUND (Off:5 Def:7),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,,,,,496.0,,,12.0,7.0,5.0,,,,,
498,PT02M21.00S,2026-01-16T03:15:28.8Z,3,REGULAR,3pt,Jump Shot,[],202691,95.3515111695138,3.1862745098039214,1610612742,107,70,2026-01-16T03:15:32Z,4960000,False,-234.0,-9.0,1,right,K. Thompson 3PT  (21 PTS) (R. Nembhard 6 AST),"[202691, 1642948]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,,23.43,Made,21.0,R. Nembhard,1642948.0,6.0,,,,,,,,,,,
500,PT02M07.00S,2026-01-16T03:15:43.7Z,3,REGULAR,2pt,Jump Shot,[],1642383,17.0335085413929,67.8921568627451,1610612762,107,72,2026-01-16T03:15:47Z,4980000,False,-89.0,108.0,1,left,W. Clayton Jr. 14' pullup Jump Shot (4 PTS) (K. Anderson 2 AST),"[1642383, 203937]",1610612762.0,UTA,pullup,,,Clayton Jr.,W. Clayton Jr.,,,,,Mid-Range,8-16 Left,,,,14.0,Made,4.0,K. Anderson,203937.0,2.0,,,,,,,,,,,
502,PT01M53.00S,2026-01-16T03:16:00.4Z,3,REGULAR,foul,personal,[],1641729,,,1610612742,107,72,2026-01-16T03:16:04Z,5000000,False,,,0,,B. Sensabaugh personal FOUL (2 PF),"[1641729, 1642948]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627526.0,2.0,0.0,Nembhard,1642948.0
504,PT01M53.00S,2026-01-16T03:16:08.1Z,3,REGULAR,substitution,out,[],1641718,,,1610612742,107,72,2026-01-16T03:16:14Z,5020000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
505,PT01M53.00S,2026-01-16T03:16:08.1Z,3,REGULAR,substitution,in,[],1642846,,,1610612742,107,72,2026-01-16T03:16:14Z,5030000,False,,,0,,SUB in: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
506,PT01M45.00S,2026-01-16T03:16:31.1Z,3,REGULAR,3pt,Jump Shot,[],1642939,92.72339027595268,2.450980392156863,1610612742,107,72,2026-01-16T03:16:34Z,5040000,False,-238.0,16.0,1,right,MISS M. Kelly 3PT,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Left Corner 3,24+ Left,,,,23.82,Missed,,,,,,,,,,,,,,,
507,PT01M43.00S,2026-01-16T03:16:33.1Z,3,REGULAR,rebound,defensive,[],1641707,,,1610612762,107,72,2026-01-16T03:16:59Z,5050000,False,,,0,,T. Hendricks REBOUND (Off:0 Def:2),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,,,,,,,,,,506.0,,,2.0,2.0,0.0,,,,,
508,PT01M42.00S,2026-01-16T03:16:38.0Z,3,REGULAR,turnover,out-of-bounds,[],1641707,,,1610612762,107,72,2026-01-16T03:16:42Z,5060000,False,,,0,,T. Hendricks step out-of-bounds TURNOVER (1 TO),[1641707],1610612762.0,UTA,step,,,Hendricks,T. Hendricks,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,,,,,,1151.0,,,,
509,PT01M39.00S,2026-01-16T03:17:01.2Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630526,67.7562417871222,48.529411764705884,1610612742,110,72,2026-01-16T03:17:04Z,5070000,False,-7.0,251.0,1,right,J. Robinson-Earl 25' 3PT  (7 PTS) (R. Nembhard 7 AST),"[1630526, 1642948]",1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Center,,,,25.07,Made,7.0,R. Nembhard,1642948.0,7.0,,,,,,,,,,,
