actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
85,PT06M06.00S,2023-02-16T01:23:58.4Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,18,7,2023-02-16T01:23:58Z,850000,False,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (5 PTS),[1628983],1610612760.0,OKC,technical,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,5.0,,,,,,,,,,,,,
86,PT06M06.00S,2023-02-16T01:24:25.9Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,19,7,2023-02-16T01:24:25Z,860000,False,,,0,,J. Giddey Free Throw 1 of 2 (5 PTS),[1630581],1610612760.0,OKC,,,,,,,,,,Made,Giddey,J. Giddey,,,,,5.0,,,,,,,,,,,,,
87,PT06M06.00S,2023-02-16T01:24:40.3Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,20,7,2023-02-16T01:24:40Z,870000,False,,,0,,J. Giddey Free Throw 2 of 2 (6 PTS),[1630581],1610612760.0,OKC,,,,,,,,,,Made,Giddey,J. Giddey,,,,,6.0,,,,,,,,,,,,,
88,PT05M50.00S,2023-02-16T01:25:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,91.27792378449409,40.931372549019606,1610612745,20,9,2023-02-16T01:25:05Z,880000,False,-45.0,29.0,1,right,J. Tate driving Layup (6 PTS),[1630256],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,Tate,J. Tate,,,,,6.0,,,,,,,,,,,,,
89,PT05M50.00S,2023-02-16T01:25:03.6Z,1,REGULAR,foul,personal,['1freethrow'],1631114,,,1610612745,20,9,2023-02-16T01:25:13Z,890000,False,,,0,,J. Williams shooting personal FOUL (2 PF) (Tate 1 FT),"[1631114, 1630256]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Williams,J. Williams,,,,,,,,202056.0,2.0,0.0,Tate,1630256.0,,,,,,
91,PT05M50.00S,2023-02-16T01:25:28.4Z,1,REGULAR,freethrow,1 of 1,[],1630256,,,1610612745,20,10,2023-02-16T01:25:28Z,910000,False,,,0,,J. Tate Free Throw 1 of 1 (7 PTS),[1630256],1610612745.0,HOU,,,,,,,,,,Made,Tate,J. Tate,,,,,7.0,,,,,,,,,,,,,
92,PT05M35.00S,2023-02-16T01:25:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630581,22.421156373193167,91.42156862745098,1610612760,20,10,2023-02-16T01:25:48Z,920000,False,-207.0,158.0,1,left,MISS J. Giddey 26' 3PT,[1630581],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,26.07,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
93,PT05M32.00S,2023-02-16T01:25:47.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,20,10,2023-02-16T01:25:48Z,930000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Smith Jr.,J. Smith Jr.,92.0,2.0,2.0,0.0,,,,,,,,,,,,,,
94,PT05M25.00S,2023-02-16T01:25:54.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,73.14388961892247,86.02941176470588,1610612745,20,13,2023-02-16T01:25:58Z,940000,False,180.0,200.0,1,right,J. Smith Jr. 26' 3PT  (3 PTS) (J. Tate 1 AST),"[1631095, 1630256]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,26.91,Made,Smith Jr.,J. Smith Jr.,,,,,3.0,,,,,,,,J. Tate,1630256.0,1.0,,,
96,PT05M11.00S,2023-02-16T01:26:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631119,14.14257555847569,38.970588235294116,1610612760,20,13,2023-02-16T01:26:50Z,960000,False,55.0,80.0,1,left,MISS J. Williams 9' floating Shot,[1631119],1610612760.0,OKC,floating,,,,,,In The Paint (Non-RA),8-16 Right,9.75,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
97,PT05M09.00S,2023-02-16T01:26:09.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,20,13,2023-02-16T01:26:14Z,970000,False,,,0,,A. Sengun REBOUND (Off:3 Def:1),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Right,,,Sengun,A. Sengun,96.0,4.0,1.0,3.0,,,,,,,,,,,,,,
98,PT05M04.00S,2023-02-16T01:26:15.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630578,87.07293035479631,48.77450980392157,1610612745,20,13,2023-02-16T01:27:08Z,980000,False,-6.0,69.0,1,right,MISS A. Sengun 6' driving floating Shot,[1630578],1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
99,PT05M01.00S,2023-02-16T01:26:18.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,20,13,2023-02-16T01:26:21Z,990000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Giddey,J. Giddey,98.0,2.0,2.0,0.0,,,,,,,,,,,,,,
100,PT04M58.00S,2023-02-16T01:26:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629652,5.206964520367937,48.529411764705884,1610612760,22,13,2023-02-16T01:26:26Z,1000000,False,7.0,-4.0,1,left,L. Dort running Layup (5 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,0.82,Made,Dort,L. Dort,,,,,5.0,,,,,,,,J. Giddey,1630581.0,1.0,,,
102,PT04M37.00S,2023-02-16T01:26:45.0Z,1,REGULAR,turnover,traveling,[],1630256,,,1610612745,22,13,2023-02-16T01:26:50Z,1020000,False,,,0,,J. Tate traveling TURNOVER (1 TO),[1630256],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Tate,J. Tate,,,,,,,,202056.0,,,,,,,,1.0,,
103,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,22,13,2023-02-16T01:27:17Z,1030000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,,,,,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
104,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,22,13,2023-02-16T01:27:17Z,1040000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
105,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,out,[],1631095,,,1610612760,22,13,2023-02-16T01:27:17Z,1050000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
106,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,out,[],1630256,,,1610612760,22,13,2023-02-16T01:27:17Z,1060000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
107,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,22,13,2023-02-16T01:27:17Z,1070000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,,,,,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,
108,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,22,13,2023-02-16T01:27:17Z,1080000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,,,,,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,
109,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,in,[],1631102,,,1610612760,22,13,2023-02-16T01:27:17Z,1090000,False,,,0,,SUB in: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,,,,,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
110,PT04M37.00S,2023-02-16T01:26:49.6Z,1,REGULAR,substitution,in,[],1631106,,,1610612760,22,13,2023-02-16T01:27:17Z,1100000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
111,PT04M29.00S,2023-02-16T01:27:29.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630231,,,1610612760,22,13,2023-02-16T01:27:37Z,1110000,False,,,0,,K. Martin Jr. shooting personal FOUL (2 PF) (Dort 2 FT),"[1630231, 1629652]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Martin Jr.,K. Martin Jr.,,,,,,,,202056.0,2.0,0.0,Dort,1629652.0,,,,,,
113,PT04M29.00S,2023-02-16T01:27:55.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629652,,,1610612760,23,13,2023-02-16T01:27:55Z,1130000,False,,,0,,L. Dort Free Throw 1 of 2 (6 PTS),[1629652],1610612760.0,OKC,,,,,,,,,,Made,Dort,L. Dort,,,,,6.0,,,,,,,,,,,,,
114,PT04M29.00S,2023-02-16T01:27:56.5Z,1,REGULAR,substitution,out,[],1631119,,,1610612760,23,13,2023-02-16T01:28:00Z,1140000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
115,PT04M29.00S,2023-02-16T01:27:56.5Z,1,REGULAR,substitution,in,[],203967,,,1610612760,23,13,2023-02-16T01:28:00Z,1150000,False,,,0,,SUB in: D. Saric,[203967],1610612760.0,OKC,,,,,,,,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,
116,PT04M29.00S,2023-02-16T01:28:16.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629652,,,1610612760,24,13,2023-02-16T01:28:16Z,1160000,False,,,0,,L. Dort Free Throw 2 of 2 (7 PTS),[1629652],1610612760.0,OKC,,,,,,,,,,Made,Dort,L. Dort,,,,,7.0,,,,,,,,,,,,,
117,PT04M09.00S,2023-02-16T01:28:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612745,24,13,2023-02-16T01:28:50Z,1170000,False,,,0,,L. Dort shooting personal FOUL (2 PF) (Eason 2 FT),"[1629652, 1631106]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Dort,L. Dort,,,,,,,,202056.0,2.0,0.0,Eason,1631106.0,,,,,,
119,PT04M09.00S,2023-02-16T01:29:02.3Z,1,REGULAR,freethrow,1 of 2,[],1631106,,,1610612745,24,13,2023-02-16T01:29:02Z,1190000,False,,,0,,MISS T. Eason Free Throw 1 of 2,[1631106],1610612745.0,HOU,,,,,,,,,,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,
120,PT04M09.00S,2023-02-16T01:29:02.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,24,13,2023-02-16T01:29:02Z,1200000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,
121,PT04M09.00S,2023-02-16T01:29:10.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612745,24,13,2023-02-16T01:29:13Z,1210000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,,,,,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,
122,PT04M09.00S,2023-02-16T01:29:10.2Z,1,REGULAR,substitution,in,[],1630526,,,1610612745,24,13,2023-02-16T01:29:13Z,1220000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
123,PT04M09.00S,2023-02-16T01:29:27.3Z,1,REGULAR,freethrow,2 of 2,[],1631106,,,1610612745,24,14,2023-02-16T01:29:27Z,1230000,False,,,0,,T. Eason Free Throw 2 of 2 (1 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,1.0,,,,,,,,,,,,,
124,PT03M59.00S,2023-02-16T01:29:39.8Z,1,REGULAR,3pt,Jump Shot,[],1630198,23.99802890932983,87.99019607843137,1610612760,24,14,2023-02-16T01:29:44Z,1240000,False,-190.0,173.0,1,left,MISS I. Joe 25' 3PT,[1630198],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,25.7,Missed,Joe,I. Joe,,,,,,,,,,,,,,,,,,
125,PT03M54.00S,2023-02-16T01:29:44.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,14,2023-02-16T01:29:44Z,1250000,False,,,0,,A. Sengun REBOUND (Off:3 Def:2),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Sengun,A. Sengun,124.0,5.0,2.0,3.0,,,,,,,,,,,,,,
126,PT03M44.00S,2023-02-16T01:29:53.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,85.23324572930355,50.0,1610612745,24,16,2023-02-16T01:30:09Z,1260000,False,0.0,86.0,1,right,A. Sengun 8' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,8.63,Made,Sengun,A. Sengun,,,,,2.0,,,,,,,,,,,,,
127,PT03M29.00S,2023-02-16T01:30:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,5.075558475689881,45.34313725490196,1610612760,24,16,2023-02-16T01:31:06Z,1270000,False,23.0,-5.0,1,left,MISS J. Robinson-Earl reverse Layup,[1630526],1610612760.0,OKC,reverse,,,,,,Restricted Area,0-8 Center,2.38,Missed,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
128,PT03M28.00S,2023-02-16T01:30:09.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,16,2023-02-16T01:30:12Z,1280000,False,,,0,,A. Sengun REBOUND (Off:3 Def:3),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,127.0,6.0,3.0,3.0,,,,,,,,,,,,,,
129,PT03M21.00S,2023-02-16T01:30:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,93.9060446780552,55.88235294117647,1610612745,24,16,2023-02-16T01:30:22Z,1290000,False,29.0,5.0,1,right,MISS T. Eason Layup,[1631106],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,2.98,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,
130,PT03M20.00S,2023-02-16T01:30:17.8Z,1,REGULAR,rebound,defensive,[],203967,,,1610612760,24,16,2023-02-16T01:30:22Z,1300000,False,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Saric,D. Saric,129.0,1.0,1.0,0.0,,,,,,,,,,,,,,
131,PT03M05.00S,2023-02-16T01:30:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.1268068331143235,58.08823529411765,1610612760,24,16,2023-02-16T01:30:37Z,1310000,False,-40.0,5.0,1,left,MISS S. Gilgeous-Alexander Layup,[1628983],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,4.07,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
132,PT03M03.00S,2023-02-16T01:30:35.2Z,1,REGULAR,rebound,offensive,[],203967,,,1610612760,24,16,2023-02-16T01:30:37Z,1320000,False,,,0,,D. Saric REBOUND (Off:1 Def:1),[203967],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Saric,D. Saric,131.0,2.0,1.0,1.0,,,,,,,,,,,,,,
133,PT03M02.00S,2023-02-16T01:30:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203967,5.206964520367937,49.754901960784316,1610612760,26,16,2023-02-16T01:30:39Z,1330000,False,1.0,-4.0,1,left,D. Saric putback Layup (2 PTS),[203967],1610612760.0,OKC,putback,,,,,,Restricted Area,0-8 Center,0.38,Made,Saric,D. Saric,,,,,2.0,,,,,,,,,,,,,
134,PT02M51.00S,2023-02-16T01:30:58.9Z,1,REGULAR,foul,technical,['1freethrow'],1630526,,,1610612745,26,16,2023-02-16T01:31:11Z,1340000,False,,,0,,J. Robinson-Earl defensive-3-second technical FOUL (1 Tech),[1630526],1610612760.0,OKC,defensive-3-second,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,203591.0,0.0,1.0,,,,,,,,
135,PT02M51.00S,2023-02-16T01:31:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,26,16,2023-02-16T01:31:14Z,1350000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M51.00S,2023-02-16T01:33:56.0Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,26,16,2023-02-16T01:33:56Z,1360000,False,,,0,,MISS J. Green technical Free Throw 1 of 1,[1630224],1610612745.0,HOU,technical,,,,,,,,,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
137,PT02M51.00S,2023-02-16T01:33:56.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,26,16,2023-02-16T01:33:56Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,
138,PT02M36.00S,2023-02-16T01:34:26.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,26,16,2023-02-16T01:34:31Z,1380000,False,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,202056.0,,,,,,,,,,
139,PT02M27.00S,2023-02-16T01:34:45.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,19.92444152431012,48.03921568627451,1610612760,26,16,2023-02-16T01:34:49Z,1390000,False,10.0,135.0,1,left,MISS S. Gilgeous-Alexander 13' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.52,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
140,PT02M23.00S,2023-02-16T01:34:49.4Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,26,16,2023-02-16T01:34:49Z,1400000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,Martin Jr.,K. Martin Jr.,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT02M16.00S,2023-02-16T01:34:55.9Z,1,REGULAR,3pt,Jump Shot,[],1631102,80.23981603153744,93.62745098039215,1610612745,26,16,2023-02-16T01:35:06Z,1410000,False,218.0,133.0,1,right,MISS T. Washington Jr. 25' 3PT,[1631102],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,25.56,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
142,PT02M13.00S,2023-02-16T01:34:58.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,26,16,2023-02-16T01:35:06Z,1420000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,,,141.0,,,,,,,,,,,,,,,,,
143,PT02M13.00S,2023-02-16T01:35:05.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631106,,,1610612760,26,16,2023-02-16T01:35:22Z,1430000,False,,,0,,T. Eason loose ball personal FOUL (1 PF) (Joe 2 FT),"[1631106, 1630198]",1610612745.0,HOU,loose ball,,,,,,In The Paint (Non-RA),8-16 Center,,,Eason,T. Eason,,,,,,,,203591.0,1.0,0.0,Joe,1630198.0,,,,,,
145,PT02M13.00S,2023-02-16T01:35:32.1Z,1,REGULAR,freethrow,1 of 2,[],1630198,,,1610612760,27,16,2023-02-16T01:35:32Z,1450000,False,,,0,,I. Joe Free Throw 1 of 2 (1 PTS),[1630198],1610612760.0,OKC,,,,,,,,,,Made,Joe,I. Joe,,,,,1.0,,,,,,,,,,,,,
146,PT02M13.00S,2023-02-16T01:35:32.7Z,1,REGULAR,substitution,out,[],1631102,,,1610612760,27,16,2023-02-16T01:35:37Z,1460000,False,,,0,,SUB out: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,,,,,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
147,PT02M13.00S,2023-02-16T01:35:32.7Z,1,REGULAR,substitution,out,[],1630224,,,1610612760,27,16,2023-02-16T01:35:37Z,1470000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
148,PT02M13.00S,2023-02-16T01:35:32.7Z,1,REGULAR,substitution,in,[],1630256,,,1610612760,27,16,2023-02-16T01:35:37Z,1480000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
149,PT02M13.00S,2023-02-16T01:35:32.7Z,1,REGULAR,substitution,in,[],1630528,,,1610612760,27,16,2023-02-16T01:35:37Z,1490000,False,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,,,,,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
150,PT02M13.00S,2023-02-16T01:35:53.5Z,1,REGULAR,freethrow,2 of 2,[],1630198,,,1610612760,28,16,2023-02-16T01:35:53Z,1500000,False,,,0,,I. Joe Free Throw 2 of 2 (2 PTS),[1630198],1610612760.0,OKC,,,,,,,,,,Made,Joe,I. Joe,,,,,2.0,,,,,,,,,,,,,
151,PT02M01.00S,2023-02-16T01:36:06.4Z,1,REGULAR,3pt,Jump Shot,[],1631106,71.82982917214193,18.38235294117647,1610612745,28,16,2023-02-16T01:36:11Z,1510000,False,-158.0,212.0,1,right,MISS T. Eason 26' 3PT,[1631106],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,26.47,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,
152,PT01M58.00S,2023-02-16T01:36:09.4Z,1,REGULAR,rebound,defensive,[],203967,,,1610612760,28,16,2023-02-16T01:36:11Z,1520000,False,,,0,,D. Saric REBOUND (Off:1 Def:2),[203967],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Saric,D. Saric,151.0,3.0,2.0,1.0,,,,,,,,,,,,,,
153,PT01M52.00S,2023-02-16T01:36:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629026,19.398817345597898,48.28431372549019,1610612760,30,16,2023-02-16T01:36:19Z,1530000,False,9.0,130.0,1,left,K. Williams 13' pullup Jump Shot (2 PTS),[1629026],1610612760.0,OKC,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.01,Made,Williams,K. Williams,,,,,2.0,,,,,,,,,,,,,
154,PT01M51.00S,2023-02-16T01:36:20.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612745,30,16,2023-02-16T01:36:20Z,1540000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M51.00S,2023-02-16T01:37:43.0Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,30,16,2023-02-16T01:37:48Z,1550000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
156,PT01M51.00S,2023-02-16T01:37:43.0Z,1,REGULAR,substitution,in,[],1630586,,,1610612745,30,16,2023-02-16T01:37:48Z,1560000,False,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,,,,,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,
157,PT01M28.00S,2023-02-16T01:38:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630231,91.14651773981603,54.90196078431373,1610612745,30,16,2023-02-16T02:33:38Z,1570000,False,25.0,31.0,1,right,MISS K. Martin Jr. driving floating Shot,[1630231],1610612745.0,HOU,driving floating,,,,,,Restricted Area,0-8 Center,3.93,Missed,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
158,PT01M27.00S,2023-02-16T01:38:10.8Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612745,30,16,2023-02-16T01:38:53Z,1580000,False,,,0,,K. Martin Jr. REBOUND (Off:1 Def:1),[1630231],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Martin Jr.,K. Martin Jr.,157.0,2.0,1.0,1.0,,,,,,,,,,,,,,
159,PT01M27.00S,2023-02-16T01:38:14.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203967,,,1610612745,30,16,2023-02-16T01:38:26Z,1590000,False,,,0,,D. Saric shooting personal FOUL (1 PF) (Martin Jr. 2 FT),"[203967, 1630231]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Saric,D. Saric,,,,,,,,202056.0,1.0,0.0,Martin Jr.,1630231.0,,,,,,
161,PT01M27.00S,2023-02-16T01:38:35.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630231,,,1610612745,30,16,2023-02-16T01:38:35Z,1610000,False,,,0,,MISS K. Martin Jr. Free Throw 1 of 2,[1630231],1610612745.0,HOU,,,,,,,,,,Missed,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
162,PT01M27.00S,2023-02-16T01:38:35.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,30,16,2023-02-16T01:38:35Z,1620000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,
163,PT01M27.00S,2023-02-16T01:38:56.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630231,,,1610612745,30,17,2023-02-16T01:38:56Z,1630000,False,,,0,,K. Martin Jr. Free Throw 2 of 2 (1 PTS),[1630231],1610612745.0,HOU,,,,,,,,,,Made,Martin Jr.,K. Martin Jr.,,,,,1.0,,,,,,,,,,,,,
166,PT01M12.00S,2023-02-16T01:39:47.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630586,,,1610612760,30,17,2023-02-16T01:39:57Z,1660000,False,,,0,,U. Garuba shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630586, 1628983]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Garuba,U. Garuba,,,,,,,,203591.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
