actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
339,PT01M24.00S,2025-12-23T03:37:31.2Z,2,REGULAR,substitution,in,[],1641717,,,1610612760,65,49,2025-12-23T03:37:38Z,3340000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT01M24.00S,2025-12-23T03:37:31.2Z,2,REGULAR,substitution,in,[],1642907,,,1610612760,65,49,2025-12-23T03:37:38Z,3350000,False,,,0,,SUB in: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT01M24.00S,2025-12-23T03:37:30.3Z,2,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,65,49,2025-12-23T03:37:53Z,3360000,False,,,0,,MISS J. Williams Free Throw 2 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
342,PT01M22.00S,2025-12-23T03:37:32.3Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,65,49,2025-12-23T03:37:53Z,3370000,False,,,0,,S. Aldama REBOUND (Off:1 Def:2),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,341.0,3.0,2.0,1.0,,,,,,,,,,,,,,
343,PT01M02.00S,2025-12-23T03:38:11.4Z,2,REGULAR,2pt,Jump Shot,[],1642377,95.74572930354796,19.607843137254903,1610612763,65,51,2025-12-23T03:38:16Z,3380000,False,-152.0,-13.0,1,right,J. Wells 15' step back Jump Shot (8 PTS) (C. Spencer 5 AST),"[1642377, 1642285]",1610612763.0,MEM,step back,,,Wells,J. Wells,,,,,Mid-Range,8-16 Left,15.25,Made,,,,,8.0,C. Spencer,1642285.0,5.0,,,,,,,,,,
345,PT00M48.70S,2025-12-23T03:38:26.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,18.2161629434954,37.99019607843137,1610612760,67,51,2025-12-23T03:38:29Z,3400000,False,60.0,119.0,1,left,S. Gilgeous-Alexander 13' pullup Jump Shot (17 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,13.3,Made,,,,,17.0,,,,,,,,,,,,,
347,PT00M33.00S,2025-12-23T03:39:14.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,84.1819973718791,64.2156862745098,1610612763,67,51,2025-12-23T03:39:19Z,3420000,False,71.0,96.0,1,right,MISS J. Wells 11' turnaround Shot,[1642377],1610612763.0,MEM,turnaround,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Right,11.96,Missed,,,,,,,,,,,,,,,,,,
348,PT00M29.30S,2025-12-23T03:39:18.0Z,2,REGULAR,rebound,defensive,[],1642964,,,1610612760,67,51,2025-12-23T03:39:19Z,3430000,False,,,0,,B. Barnhizer REBOUND (Off:0 Def:2),[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,In The Paint (Non-RA),8-16 Right,,,347.0,2.0,2.0,0.0,,,,,,,,,,,,,,
349,PT00M23.70S,2025-12-23T03:39:23.7Z,2,REGULAR,3pt,Jump Shot,[],1642964,6.258212877792378,4.166666666666666,1610612760,67,51,2025-12-23T03:39:28Z,3440000,False,229.0,6.0,1,left,MISS B. Barnhizer 3PT,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
350,PT00M20.20S,2025-12-23T03:39:27.2Z,2,REGULAR,rebound,defensive,[],1642907,,,1610612763,67,51,2025-12-23T03:39:27Z,3450000,False,,,0,,C. Coward REBOUND (Off:1 Def:4),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Right Corner 3,24+ Right,,,349.0,5.0,4.0,1.0,,,,,,,,,,,,,,
351,PT00M04.90S,2025-12-23T03:39:42.6Z,2,REGULAR,3pt,Jump Shot,[],1630583,92.46057818659659,95.34313725490196,1610612763,67,54,2025-12-23T03:39:48Z,3460000,False,227.0,18.0,1,right,S. Aldama 3PT pullup (7 PTS) (C. Coward 5 AST),"[1630583, 1642907]",1610612763.0,MEM,pullup,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,22.74,Made,,,,,7.0,C. Coward,1642907.0,5.0,,,,,,,,,,
353,PT00M00.70S,2025-12-23T03:39:53.7Z,2,REGULAR,3pt,Jump Shot,[],1631114,32.276609724047304,23.774509803921568,1610612760,67,54,2025-12-23T03:54:37Z,3480000,False,131.0,251.0,1,left,MISS J. Williams 28' pullup 3PT,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,28.31,Missed,,,,,,,,,,,,,,,,,,
354,PT00M00.70S,2025-12-23T03:39:53.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,67,54,2025-12-23T03:40:02Z,3490000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Right Center,,,353.0,,,,,,,,,,,,,,,,,
355,PT00M00.00S,2025-12-23T03:40:09.6Z,2,REGULAR,period,end,[],0,,,1610612760,67,54,2025-12-23T03:40:09Z,3500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT12M00.00S,2025-12-23T03:40:17.1Z,3,REGULAR,substitution,out,['startperiod'],1642964,,,1610612760,67,54,2025-12-23T03:54:58Z,3510000,False,,,0,,SUB out: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT12M00.00S,2025-12-23T03:40:17.1Z,3,REGULAR,substitution,out,['startperiod'],1630583,,,1610612760,67,54,2025-12-23T03:54:58Z,3520000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT12M00.00S,2025-12-23T03:40:17.1Z,3,REGULAR,substitution,in,['startperiod'],1642382,,,1610612760,67,54,2025-12-23T03:54:58Z,3530000,False,,,0,,SUB in: B. Carlson,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,
359,PT12M00.00S,2025-12-23T03:40:17.1Z,3,REGULAR,substitution,in,['startperiod'],1629111,,,1610612760,67,54,2025-12-23T03:54:58Z,3540000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PT12M00.00S,2025-12-23T03:55:07.3Z,3,REGULAR,period,start,[],0,,,1610612760,67,54,2025-12-23T03:55:07Z,3550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT11M38.00S,2025-12-23T03:55:29.7Z,3,REGULAR,turnover,out-of-bounds,[],1642382,,,1610612760,67,54,2025-12-23T03:55:34Z,3560000,False,,,0,,B. Carlson lost ball out-of-bounds TURNOVER (1 TO),[1642382],1610612760.0,OKC,lost ball,,,Carlson,B. Carlson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,204058.0,,,,,,
362,PT11M24.00S,2025-12-23T03:55:56.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1642285,25.837713534822605,18.872549019607842,1610612763,67,54,2025-12-23T03:56:03Z,3570000,False,156.0,190.0,1,left,MISS C. Spencer 24' pullup 3PT,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,24.59,Missed,,,,,,,,,,,,,,,,,,
363,PT11M22.00S,2025-12-23T03:55:58.1Z,3,REGULAR,rebound,defensive,[],1631114,,,1610612760,67,54,2025-12-23T03:56:40Z,3580000,False,,,0,,J. Williams REBOUND (Off:2 Def:3),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,362.0,5.0,3.0,2.0,,,,,,,,,,,,,,
364,PT11M19.00S,2025-12-23T03:56:06.4Z,3,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,67,54,2025-12-23T03:58:34Z,3590000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (2 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,204058.0,,,,,,
365,PT11M09.00S,2025-12-23T03:56:29.1Z,3,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,67,54,2025-12-23T03:58:44Z,3600000,False,,,0,,J. Wells bad pass out-of-bounds TURNOVER (3 TO),[1642377],1610612763.0,MEM,bad pass,,,Wells,J. Wells,,,,,Mid-Range,8-16 Right,,,,,,,,,,,3.0,,,1628484.0,,,,,,
367,PT11M00.00S,2025-12-23T03:56:43.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,93.38042049934296,52.450980392156865,1610612760,67,54,2025-12-23T03:56:47Z,3620000,False,12.0,10.0,1,right,MISS J. Williams driving finger roll Layup,[1631114],1610612760.0,OKC,driving finger roll,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.57,Missed,,,,,,,,,,,,,,,,,,
368,PT10M57.00S,2025-12-23T03:56:46.3Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,67,54,2025-12-23T03:56:47Z,3630000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,367.0,3.0,3.0,0.0,,,,,,,,,,,,,,
369,PT10M53.00S,2025-12-23T03:56:53.2Z,3,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612763,67,54,2025-12-23T03:56:59Z,3640000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1631114, 1628991]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Jackson Jr.,1628991.0,,
371,PT10M53.00S,2025-12-23T03:57:13.5Z,3,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,67,55,2025-12-23T03:57:13Z,3660000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (9 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
372,PT10M53.00S,2025-12-23T03:57:23.3Z,3,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,67,56,2025-12-23T03:57:23Z,3670000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (10 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
373,PT10M33.00S,2025-12-23T03:57:44.0Z,3,REGULAR,3pt,Jump Shot,[],1629652,69.33311432325887,23.03921568627451,1610612760,67,56,2025-12-23T03:57:49Z,3680000,False,-135.0,236.0,1,right,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,27.16,Missed,,,,,,,,,,,,,,,,,,
374,PT10M31.00S,2025-12-23T03:57:46.0Z,3,REGULAR,rebound,defensive,[],1629111,,,1610612763,67,56,2025-12-23T03:57:49Z,3690000,False,,,0,,J. Landale REBOUND (Off:1 Def:3),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,373.0,4.0,3.0,1.0,,,,,,,,,,,,,,
375,PT10M10.00S,2025-12-23T03:58:06.8Z,3,REGULAR,turnover,bad pass,[],1642285,,,1610612763,67,56,2025-12-23T03:58:10Z,3700000,False,,,0,,C. Spencer bad pass TURNOVER (4 TO),"[1642285, 1629652]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,4.0,,,,,,,,Dort,1629652.0
376,PT10M10.00S,2025-12-23T03:58:06.8Z,3,REGULAR,steal,,[],1629652,,,1610612760,67,56,2025-12-23T03:58:09Z,3710000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
377,PT10M00.00S,2025-12-23T03:58:16.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1642382,65.91655716162943,50.73529411764706,1610612760,67,56,2025-12-23T03:58:21Z,3720000,False,4.0,268.0,1,right,MISS B. Carlson 26' 3PT,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
378,PT09M56.00S,2025-12-23T03:58:20.9Z,3,REGULAR,rebound,defensive,[],1642285,,,1610612763,67,56,2025-12-23T03:58:21Z,3730000,False,,,0,,C. Spencer REBOUND (Off:0 Def:4),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,,,377.0,4.0,4.0,0.0,,,,,,,,,,,,,,
379,PT09M49.00S,2025-12-23T03:58:29.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,6.521024967148489,47.549019607843135,1610612763,67,56,2025-12-23T04:01:07Z,3740000,False,12.0,9.0,1,left,MISS J. Jackson Jr. floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,,,,,
380,PT09M49.00S,2025-12-23T03:58:29.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612763,67,56,2025-12-23T04:01:07Z,3750000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,379.0,,,,,,,,,,,,,,,,,
381,PT09M49.00S,2025-12-23T03:58:40.1Z,3,REGULAR,foul,personal,[],1629652,,,1610612763,67,56,2025-12-23T03:58:44Z,3760000,False,,,0,,L. Dort loose ball personal FOUL (2 PF),"[1629652, 1629111]",1610612760.0,OKC,loose ball,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,101284.0,2.0,0.0,Landale,1629111.0,,
383,PT09M38.00S,2025-12-23T03:59:14.5Z,3,REGULAR,2pt,Jump Shot,['2ndchance'],1642285,20.844283837056505,55.392156862745104,1610612763,67,56,2025-12-23T03:59:27Z,3780000,False,-27.0,143.0,1,left,MISS C. Spencer 14' step back Shot,[1642285],1610612763.0,MEM,step back,,,Spencer,C. Spencer,,,,,Mid-Range,8-16 Center,14.59,Missed,,,,,,,,,,,,,,,,,,
384,PT09M36.00S,2025-12-23T03:59:16.5Z,3,REGULAR,rebound,defensive,[],1628983,,,1610612760,67,56,2025-12-23T03:59:27Z,3790000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:4),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,383.0,4.0,4.0,0.0,,,,,,,,,,,,,,
385,PT09M30.00S,2025-12-23T03:59:24.1Z,3,REGULAR,foul,personal,[],1642377,,,1610612760,67,56,2025-12-23T03:59:29Z,3800000,False,,,0,,J. Wells personal FOUL (3 PF),"[1642377, 1628983]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,1628484.0,3.0,0.0,Gilgeous-Alexander,1628983.0,,
387,PT09M21.00S,2025-12-23T03:59:49.9Z,3,REGULAR,2pt,Jump Shot,[],1631114,92.32917214191852,22.30392156862745,1610612760,67,56,2025-12-23T03:59:55Z,3820000,False,-138.0,20.0,1,right,MISS J. Williams 13' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,13.99,Missed,,,,,,,,,,,,,,,,,,
388,PT09M19.00S,2025-12-23T03:59:52.6Z,3,REGULAR,rebound,defensive,[],1629111,,,1610612763,67,56,2025-12-23T03:59:52Z,3830000,False,,,0,,J. Landale REBOUND (Off:1 Def:4),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Mid-Range,8-16 Left,,,387.0,5.0,4.0,1.0,,,,,,,,,,,,,,
389,PT09M06.00S,2025-12-23T04:00:05.4Z,3,REGULAR,3pt,Jump Shot,[],1629111,27.283180026281208,14.950980392156863,1610612763,67,56,2025-12-23T04:00:12Z,3840000,False,175.0,204.0,1,left,MISS J. Landale 26' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
390,PT09M03.00S,2025-12-23T04:00:08.2Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,67,56,2025-12-23T04:00:08Z,3850000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,389.0,2.0,2.0,0.0,,,,,,,,,,,,,,
391,PT08M57.00S,2025-12-23T04:00:14.1Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,69.59592641261499,23.03921568627451,1610612760,67,56,2025-12-23T04:02:44Z,3860000,False,-135.0,233.0,1,right,MISS L. Dort 26' running 3PT,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,26.94,Missed,,,,,,,,,,,,,,,,,,
392,PT08M54.00S,2025-12-23T04:00:17.1Z,3,REGULAR,rebound,defensive,[],1629111,,,1610612763,67,56,2025-12-23T04:00:19Z,3870000,False,,,0,,J. Landale REBOUND (Off:1 Def:5),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,391.0,6.0,5.0,1.0,,,,,,,,,,,,,,
393,PT08M36.00S,2025-12-23T04:00:35.6Z,3,REGULAR,2pt,Jump Shot,[],1642377,25.443495400788436,65.93137254901961,1610612763,67,56,2025-12-23T04:00:41Z,3880000,False,-80.0,187.0,1,left,MISS J. Wells 20' pullup Shot,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left Center,20.3,Missed,,,,,,,,,,,,,,,,,,
394,PT08M33.00S,2025-12-23T04:00:38.6Z,3,REGULAR,rebound,defensive,[],1628983,,,1610612760,67,56,2025-12-23T04:00:41Z,3890000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:5),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,393.0,5.0,5.0,0.0,,,,,,,,,,,,,,
395,PT08M25.00S,2025-12-23T04:00:46.4Z,3,REGULAR,3pt,Jump Shot,[],1641717,67.88764783180025,67.40196078431373,1610612760,67,56,2025-12-23T04:00:52Z,3900000,False,87.0,249.0,1,right,MISS C. Wallace 26' 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
396,PT08M22.00S,2025-12-23T04:00:49.9Z,3,REGULAR,rebound,defensive,[],1642377,,,1610612763,67,56,2025-12-23T04:00:50Z,3910000,False,,,0,,J. Wells REBOUND (Off:0 Def:2),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,,,395.0,2.0,2.0,0.0,,,,,,,,,,,,,,
397,PT08M15.00S,2025-12-23T04:00:56.7Z,3,REGULAR,turnover,bad pass,[],1642377,,,1610612763,67,56,2025-12-23T04:01:00Z,3920000,False,,,0,,J. Wells bad pass TURNOVER (4 TO),"[1642377, 1628983]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,4.0,,,,,,,,Gilgeous-Alexander,1628983.0
398,PT08M15.00S,2025-12-23T04:00:56.7Z,3,REGULAR,steal,,[],1628983,,,1610612760,67,56,2025-12-23T04:00:58Z,3930000,False,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
399,PT08M00.00S,2025-12-23T04:01:11.0Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,68.01905387647832,22.794117647058822,1610612760,70,56,2025-12-23T04:01:16Z,3940000,False,-136.0,248.0,1,right,L. Dort 28' 3PT  (11 PTS) (J. Williams 2 AST),"[1629652, 1631114]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,28.29,Made,,,,,11.0,J. Williams,1631114.0,2.0,,,,,,,,,,
401,PT07M42.00S,2025-12-23T04:01:29.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.601182654402102,47.30392156862745,1610612763,70,56,2025-12-23T04:01:33Z,3960000,False,13.0,0.0,1,left,MISS J. Jackson Jr. Layup - blocked,"[1628991, 1629652]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,Dort,1629652.0,,,,,,,
402,PT07M42.00S,2025-12-23T04:01:29.3Z,3,REGULAR,block,,[],1629652,,,1610612763,70,56,2025-12-23T04:01:31Z,3970000,False,,,0,,L. Dort BLOCK (2 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
403,PT07M40.00S,2025-12-23T04:01:31.3Z,3,REGULAR,rebound,defensive,[],1628983,,,1610612760,70,56,2025-12-23T04:01:33Z,3980000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:6),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,401.0,6.0,6.0,0.0,,,,,,,,,,,,,,
404,PT07M37.00S,2025-12-23T04:01:36.5Z,3,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,70,56,2025-12-23T04:01:40Z,3990000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (3 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,,,,,3.0,,,1628484.0,,,,,,
405,PT07M37.00S,2025-12-23T04:01:41.9Z,3,REGULAR,substitution,out,[],1628991,,,1610612763,70,56,2025-12-23T04:01:49Z,4000000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT07M37.00S,2025-12-23T04:01:41.9Z,3,REGULAR,substitution,out,[],1642907,,,1610612763,70,56,2025-12-23T04:01:49Z,4010000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT07M37.00S,2025-12-23T04:01:41.9Z,3,REGULAR,substitution,in,[],1630583,,,1610612763,70,56,2025-12-23T04:01:49Z,4020000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
408,PT07M37.00S,2025-12-23T04:01:41.9Z,3,REGULAR,substitution,in,[],203484,,,1610612763,70,56,2025-12-23T04:01:49Z,4030000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT07M25.00S,2025-12-23T04:02:05.8Z,3,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612763,70,56,2025-12-23T04:02:38Z,4040000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (2 PF) (Landale 2 FT),"[1628983, 1629111]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628484.0,2.0,0.0,Landale,1629111.0,,
411,PT07M25.00S,2025-12-23T04:02:38.8Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1629111,,,1610612763,70,56,2025-12-23T04:02:38Z,4060000,False,,,0,,MISS J. Landale Free Throw 1 of 2,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
412,PT07M25.00S,2025-12-23T04:02:38.8Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,70,56,2025-12-23T04:02:38Z,4070000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,,,
413,PT07M25.00S,2025-12-23T04:02:50.2Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1629111,,,1610612763,70,57,2025-12-23T04:02:50Z,4080000,False,,,0,,J. Landale Free Throw 2 of 2 (9 PTS),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
414,PT07M18.00S,2025-12-23T04:02:57.8Z,3,REGULAR,3pt,Jump Shot,[],1642382,70.38436268068331,75.98039215686273,1610612760,70,57,2025-12-23T04:03:04Z,4090000,False,130.0,226.0,1,right,MISS B. Carlson 26' 3PT,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
415,PT07M14.00S,2025-12-23T04:03:01.8Z,3,REGULAR,rebound,defensive,[],1630583,,,1610612763,70,57,2025-12-23T04:03:04Z,4100000,False,,,0,,S. Aldama REBOUND (Off:1 Def:3),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,414.0,4.0,3.0,1.0,,,,,,,,,,,,,,
416,PT07M14.00S,2025-12-23T04:03:09.3Z,3,REGULAR,foul,personal,[],1629652,,,1610612763,70,57,2025-12-23T04:03:35Z,4110000,False,,,0,,L. Dort loose ball personal FOUL (3 PF),"[1629652, 1642285]",1610612760.0,OKC,loose ball,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,204058.0,3.0,0.0,Spencer,1642285.0,,
