actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
423,PT05M15.00S,2024-01-24T02:35:26.0Z,3,REGULAR,3pt,Jump Shot,[],1628381,28.991458607095925,80.3921568627451,1610612762,95,85,2024-01-24T02:35:30Z,4160000,False,-152.0,220.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
424,PT05M11.00S,2024-01-24T02:35:30.0Z,3,REGULAR,rebound,defensive,[],1630529,,,1610612740,95,85,2024-01-24T02:35:30Z,4170000,False,,,0,,H. Jones REBOUND (Off:2 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,423.0,3.0,1.0,2.0,,,,,,,,,,,,,,
425,PT05M10.00S,2024-01-24T02:35:31.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626204,93.64323258869908,48.529411764705884,1610612740,97,85,2024-01-24T02:35:37Z,4180000,False,-7.0,7.0,1,right,L. Nance Jr. running DUNK (12 PTS) (H. Jones 4 AST),"[1626204, 1630529]",1610612740.0,NOP,running,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,,,12.0,,,H. Jones,1630529.0,4.0,,,,,,
427,PT04M58.00S,2024-01-24T02:35:42.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,12.171484888304862,52.69607843137255,1610612762,97,85,2024-01-24T02:35:50Z,4200000,False,-13.0,62.0,1,left,MISS L. Markkanen 6' driving Layup - blocked,"[1628374, 1626204]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,6.34,Missed,,,,,Nance Jr.,1626204.0,,,,,,,,,,,,
428,PT04M58.00S,2024-01-24T02:35:42.3Z,3,REGULAR,block,,[],1626204,,,1610612762,97,85,2024-01-24T02:35:46Z,4210000,False,,,0,,L. Nance Jr. BLOCK (1 BLK),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
429,PT04M53.00S,2024-01-24T02:35:47.3Z,3,REGULAR,rebound,defensive,[],1630529,,,1610612740,97,85,2024-01-24T02:35:50Z,4220000,False,,,0,,H. Jones REBOUND (Off:2 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,427.0,4.0,2.0,2.0,,,,,,,,,,,,,,
430,PT04M50.00S,2024-01-24T02:35:50.6Z,3,REGULAR,3pt,Jump Shot,[],203468,70.77858081471747,24.019607843137255,1610612740,100,85,2024-01-24T02:35:57Z,4230000,False,-130.0,222.0,1,right,C. McCollum 25' 3PT  (27 PTS) (H. Jones 5 AST),"[203468, 1630529]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.74,Made,,,,,,,27.0,,,H. Jones,1630529.0,5.0,,,,,,
432,PT04M50.00S,2024-01-24T02:36:02.2Z,3,REGULAR,foul,technical,['1freethrow'],1628181,,,1610612762,100,85,2024-01-24T02:36:18Z,4250000,False,,,0,,TEAM foul technical,[1628181],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,,,
433,PT04M50.00S,2024-01-24T02:36:25.9Z,3,REGULAR,freethrow,1 of 1,[],1630530,,,1610612762,100,85,2024-01-24T02:36:25Z,4260000,False,,,0,,MISS T. Murphy III technical Free Throw 1 of 1,[1630530],1610612740.0,NOP,technical,,,Murphy III,T. Murphy III,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
434,PT04M50.00S,2024-01-24T02:36:25.9Z,3,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612762,100,85,2024-01-24T02:36:25Z,4270000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,433.0,,,,,,,,,,,,,,,,,
435,PT04M50.00S,2024-01-24T02:36:29.9Z,3,REGULAR,substitution,out,[],1630529,,,1610612762,100,85,2024-01-24T02:36:44Z,4280000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT04M50.00S,2024-01-24T02:36:29.9Z,3,REGULAR,substitution,out,[],1626204,,,1610612762,100,85,2024-01-24T02:36:44Z,4290000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT04M50.00S,2024-01-24T02:36:29.9Z,3,REGULAR,substitution,in,[],202685,,,1610612762,100,85,2024-01-24T02:36:44Z,4300000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT04M50.00S,2024-01-24T02:36:29.9Z,3,REGULAR,substitution,in,[],1630230,,,1610612762,100,85,2024-01-24T02:36:44Z,4310000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
440,PT04M25.00S,2024-01-24T02:37:36.7Z,3,REGULAR,3pt,Jump Shot,[],1629012,33.722076215505915,43.38235294117647,1610612762,100,85,2024-01-24T02:37:42Z,4330000,False,33.0,264.0,1,left,MISS C. Sexton 26' pullup 3PT,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,26.66,Missed,,,,,,,,,,,,,,,,,,
441,PT04M21.00S,2024-01-24T02:37:40.4Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,100,85,2024-01-24T02:37:40Z,4340000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,440.0,7.0,6.0,1.0,,,,,,,,,,,,,,
442,PT04M13.00S,2024-01-24T02:37:48.7Z,3,REGULAR,2pt,Jump Shot,[],1627742,88.25558475689881,77.20588235294117,1610612740,100,85,2024-01-24T02:38:19Z,4350000,False,136.0,58.0,1,right,MISS B. Ingram 14' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,14.78,Missed,,,,,,,,,,,,,,,,,,
443,PT04M05.00S,2024-01-24T02:37:56.7Z,3,REGULAR,rebound,offensive,[],202685,,,1610612740,100,85,2024-01-24T02:38:02Z,4360000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,442.0,8.0,6.0,2.0,,,,,,,,,,,,,,
444,PT04M05.00S,2024-01-24T02:37:56.4Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,94.40999984741211,50.0,1610612740,102,85,2024-01-24T02:38:23Z,4370000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (11 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,11.0,,,,,,,,,,,
445,PT03M58.00S,2024-01-24T02:38:02.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,5.601182654402102,47.05882352941176,1610612762,102,87,2024-01-24T02:39:26Z,4380000,False,15.0,0.0,1,left,J. Collins cutting Layup (8 PTS) (C. Sexton 7 AST),"[1628381, 1629012]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,8.0,,,C. Sexton,1629012.0,7.0,,,,,,
447,PT03M48.00S,2024-01-24T02:38:25.4Z,3,REGULAR,foul,personal,[],1628381,,,1610612740,102,87,2024-01-24T02:38:36Z,4400000,False,,,0,,J. Collins personal FOUL (4 PF),"[1628381, 202685]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,202007.0,,,,,4.0,0.0,Valanciunas,202685.0,,
449,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,out,[],203468,,,1610612740,102,87,2024-01-24T02:38:55Z,4420000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
450,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,out,[],1629012,,,1610612740,102,87,2024-01-24T02:38:55Z,4430000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,out,[],1627739,,,1610612740,102,87,2024-01-24T02:38:55Z,4440000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,out,[],1628381,,,1610612740,102,87,2024-01-24T02:38:55Z,4450000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
453,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,in,[],1641722,,,1610612740,102,87,2024-01-24T02:38:55Z,4460000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
454,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,in,[],1631117,,,1610612740,102,87,2024-01-24T02:38:55Z,4470000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
455,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,in,[],1641718,,,1610612740,102,87,2024-01-24T02:38:55Z,4480000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
456,PT03M48.00S,2024-01-24T02:38:35.1Z,3,REGULAR,substitution,in,[],203903,,,1610612740,102,87,2024-01-24T02:38:55Z,4490000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
457,PT03M40.00S,2024-01-24T02:38:59.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,82.60512483574244,39.950980392156865,1610612740,102,87,2024-01-24T02:39:04Z,4500000,False,-50.0,111.0,1,right,MISS B. Ingram 12' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.18,Missed,,,,,,,,,,,,,,,,,,
458,PT03M37.00S,2024-01-24T02:39:02.3Z,3,REGULAR,rebound,defensive,[],1631117,,,1610612762,102,87,2024-01-24T02:39:04Z,4510000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,457.0,2.0,2.0,0.0,,,,,,,,,,,,,,
459,PT03M26.00S,2024-01-24T02:39:26.0Z,3,REGULAR,foul,personal,[],1630230,,,1610612762,102,87,2024-01-24T02:43:04Z,4520000,False,,,0,,N. Marshall personal FOUL (2 PF),"[1630230, 1628374]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,2534.0,,,,,2.0,0.0,Markkanen,1628374.0,,
461,PT03M21.00S,2024-01-24T02:39:46.1Z,3,REGULAR,3pt,Jump Shot,[],1628374,32.276609724047304,56.127450980392155,1610612762,102,87,2024-01-24T02:39:55Z,4540000,False,-31.0,251.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,25.28,Missed,,,,,,,,,,,,,,,,,,
462,PT03M14.00S,2024-01-24T02:39:53.1Z,3,REGULAR,rebound,defensive,[],1630530,,,1610612740,102,87,2024-01-24T02:39:55Z,4550000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,461.0,2.0,1.0,1.0,,,,,,,,,,,,,,
463,PT03M09.00S,2024-01-24T02:39:57.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,66.70499342969777,64.4607843137255,1610612740,102,87,2024-01-24T02:43:01Z,4560000,False,72.0,260.0,1,right,MISS T. Murphy III 27' running pullup 3PT,[1630530],1610612740.0,NOP,running pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,27.03,Missed,,,,,,,,,,,,,,,,,,
464,PT03M05.00S,2024-01-24T02:40:01.2Z,3,REGULAR,rebound,offensive,[],202685,,,1610612740,102,87,2024-01-24T02:40:42Z,4570000,False,,,0,,J. Valanciunas REBOUND (Off:3 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,463.0,9.0,6.0,3.0,,,,,,,,,,,,,,
465,PT03M03.00S,2024-01-24T02:40:03.4Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202685,94.56307490144546,49.50980392156863,1610612740,104,87,2024-01-24T02:42:06Z,4580000,False,-2.0,-1.0,1,right,J. Valanciunas putback DUNK (13 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,13.0,,,,,,,,,,,
466,PT02M51.00S,2024-01-24T02:40:15.0Z,3,REGULAR,3pt,Jump Shot,[],1641718,31.61957950065703,32.59803921568628,1610612762,104,87,2024-01-24T02:43:07Z,4590000,False,87.0,245.0,1,left,MISS K. George 25' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
467,PT02M48.00S,2024-01-24T02:40:18.0Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,104,87,2024-01-24T02:40:22Z,4600000,False,,,0,,J. Valanciunas REBOUND (Off:3 Def:7),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,466.0,10.0,7.0,3.0,,,,,,,,,,,,,,
468,PT02M44.00S,2024-01-24T02:40:22.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630530,94.1688567674113,46.81372549019608,1610612740,106,87,2024-01-24T02:40:29Z,4610000,False,-16.0,2.0,1,right,T. Murphy III running Layup (4 PTS) (J. Valanciunas 2 AST),"[1630530, 202685]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,4.0,,,J. Valanciunas,202685.0,2.0,,,,,,
470,PT02M34.00S,2024-01-24T02:40:35.7Z,3,REGULAR,foul,personal,['2freethrow'],202685,,,1610612762,106,87,2024-01-24T02:40:56Z,4630000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Kessler 2 FT),"[202685, 1631117]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,202007.0,,,,,1.0,1.0,Kessler,1631117.0,,
472,PT02M34.00S,2024-01-24T02:41:05.1Z,3,REGULAR,freethrow,1 of 2,[],1631117,,,1610612762,106,87,2024-01-24T02:41:05Z,4650000,False,,,0,,MISS W. Kessler Free Throw 1 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
473,PT02M34.00S,2024-01-24T02:41:05.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,106,87,2024-01-24T02:41:05Z,4660000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,472.0,,,,,,,,,,,,,,,,,
474,PT02M34.00S,2024-01-24T02:41:06.8Z,3,REGULAR,substitution,out,[],1631323,,,1610612762,106,87,2024-01-24T02:41:13Z,4670000,False,,,0,,SUB out: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PT02M34.00S,2024-01-24T02:41:06.8Z,3,REGULAR,substitution,out,[],1628374,,,1610612762,106,87,2024-01-24T02:41:13Z,4680000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT02M34.00S,2024-01-24T02:41:06.8Z,3,REGULAR,substitution,in,[],1630534,,,1610612762,106,87,2024-01-24T02:41:13Z,4690000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
477,PT02M34.00S,2024-01-24T02:41:06.8Z,3,REGULAR,substitution,in,[],203482,,,1610612762,106,87,2024-01-24T02:41:13Z,4700000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
478,PT02M34.00S,2024-01-24T02:41:05.1Z,3,REGULAR,freethrow,2 of 2,[],1631117,,,1610612762,106,87,2024-01-24T02:41:30Z,4710000,False,,,0,,MISS W. Kessler Free Throw 2 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
479,PT02M32.00S,2024-01-24T02:41:07.1Z,3,REGULAR,rebound,defensive,[],1641722,,,1610612740,106,87,2024-01-24T02:41:30Z,4720000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:2),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,478.0,2.0,2.0,0.0,,,,,,,,,,,,,,
480,PT02M18.00S,2024-01-24T02:41:43.0Z,3,REGULAR,3pt,Jump Shot,[],1630230,94.03745072273325,4.901960784313726,1610612740,109,87,2024-01-24T02:41:48Z,4730000,False,-225.0,4.0,1,right,N. Marshall 3PT  (3 PTS) (B. Ingram 5 AST),"[1630230, 1627742]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,22.55,Made,,,,,,,3.0,,,B. Ingram,1627742.0,5.0,,,,,,
482,PT02M04.00S,2024-01-24T02:42:04.5Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630530,,,1610612762,109,87,2024-01-24T02:42:25Z,4750000,False,,,0,,T. Murphy III personal FOUL (1 PF) (George 2 FT),"[1630530, 1641718]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2534.0,,,,,1.0,0.0,George,1641718.0,,
484,PT02M04.00S,2024-01-24T02:42:38.5Z,3,REGULAR,freethrow,1 of 2,[],1641718,,,1610612762,109,88,2024-01-24T02:42:38Z,4770000,False,,,0,,K. George Free Throw 1 of 2 (3 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
485,PT02M04.00S,2024-01-24T02:42:56.5Z,3,REGULAR,freethrow,2 of 2,[],1641718,,,1610612762,109,89,2024-01-24T02:42:56Z,4780000,False,,,0,,K. George Free Throw 2 of 2 (4 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
486,PT01M48.00S,2024-01-24T02:43:15.0Z,3,REGULAR,2pt,Jump Shot,[],1627742,85.3646517739816,25.245098039215684,1610612740,111,89,2024-01-24T02:44:06Z,4790000,False,-124.0,85.0,1,right,B. Ingram 15' fadeaway Jump Shot (18 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,15.02,Made,,,,,,,18.0,,,,,,,,,,,
487,PT01M34.00S,2024-01-24T02:43:32.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203482,8.623521681997373,44.85294117647059,1610612762,111,91,2024-01-24T02:43:38Z,4800000,False,26.0,29.0,1,left,K. Olynyk Layup (9 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.85,Made,,,,,,,9.0,,,,,,,,,,,
488,PT01M34.00S,2024-01-24T02:43:36.0Z,3,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630530,,,1610612762,111,91,2024-01-24T02:43:47Z,4810000,False,,,0,,T. Murphy III shooting personal FOUL (2 PF) (Olynyk 1 FT),"[1630530, 203482]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,,,,,2.0,0.0,Olynyk,203482.0,,
490,PT01M34.00S,2024-01-24T02:43:53.3Z,3,REGULAR,substitution,out,[],1627742,,,1610612762,111,91,2024-01-24T02:44:00Z,4830000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
491,PT01M34.00S,2024-01-24T02:43:53.3Z,3,REGULAR,substitution,in,[],1629627,,,1610612762,111,91,2024-01-24T02:44:00Z,4840000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
492,PT01M34.00S,2024-01-24T02:44:09.5Z,3,REGULAR,freethrow,1 of 1,[],203482,,,1610612762,111,91,2024-01-24T02:44:11Z,4850000,False,,,0,,MISS K. Olynyk Free Throw 1 of 1,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
493,PT01M32.00S,2024-01-24T02:44:11.5Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,111,91,2024-01-24T02:44:11Z,4860000,False,,,0,,J. Valanciunas REBOUND (Off:3 Def:8),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,492.0,11.0,8.0,3.0,,,,,,,,,,,,,,
495,PT01M11.00S,2024-01-24T02:44:41.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.64323258869908,46.32352941176471,1610612740,113,91,2024-01-24T02:45:11Z,4880000,False,-18.0,7.0,1,right,Z. Williamson driving Layup (12 PTS) (N. Marshall 1 AST),"[1629627, 1630230]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,12.0,,,N. Marshall,1630230.0,1.0,,,,,,
497,PT01M04.00S,2024-01-24T02:44:48.7Z,3,REGULAR,2pt,Jump Shot,[],1641718,23.078186596583443,67.40196078431373,1610612762,113,91,2024-01-24T02:44:55Z,4900000,False,-87.0,164.0,1,left,MISS K. George 18' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Left Center,18.6,Missed,,,,,,,,,,,,,,,,,,
498,PT00M59.30S,2024-01-24T02:44:53.4Z,3,REGULAR,rebound,defensive,[],1630230,,,1610612740,113,91,2024-01-24T02:44:55Z,4910000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,,,497.0,1.0,1.0,0.0,,,,,,,,,,,,,,
499,PT00M54.60S,2024-01-24T02:44:59.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202685,94.03745072273325,53.18627450980392,1610612740,113,91,2024-01-24T02:45:04Z,4920000,False,16.0,4.0,1,right,MISS J. Valanciunas running Layup,[202685],1610612740.0,NOP,running,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
500,PT00M52.00S,2024-01-24T02:45:01.6Z,3,REGULAR,rebound,defensive,[],1631117,,,1610612762,113,91,2024-01-24T02:45:04Z,4930000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,499.0,3.0,3.0,0.0,,,,,,,,,,,,,,
502,PT00M30.30S,2024-01-24T02:45:41.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631117,18.478975032851512,50.245098039215684,1610612762,113,91,2024-01-24T02:45:46Z,4950000,False,-1.0,121.0,1,left,MISS W. Kessler 12' floating Shot,[1631117],1610612762.0,UTA,floating,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,12.12,Missed,,,,,,,,,,,,,,,,,,
503,PT00M27.90S,2024-01-24T02:45:43.5Z,3,REGULAR,rebound,defensive,[],1630530,,,1610612740,113,91,2024-01-24T02:45:43Z,4960000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,502.0,3.0,2.0,1.0,,,,,,,,,,,,,,
504,PT00M08.90S,2024-01-24T02:46:03.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.5407358738502,46.32352941176471,1610612740,113,91,2024-01-24T02:46:09Z,4970000,False,-18.0,27.0,1,right,MISS Z. Williamson driving Layup - blocked,"[1629627, 1631117]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,Kessler,1631117.0,,,,,,,,,,,,
505,PT00M08.90S,2024-01-24T02:46:03.0Z,3,REGULAR,block,,[],1631117,,,1610612740,113,91,2024-01-24T02:46:05Z,4980000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
506,PT00M08.90S,2024-01-24T02:46:03.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612740,113,91,2024-01-24T02:46:09Z,4990000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,504.0,,,,,,,,,,,,,,,,,
508,PT00M06.10S,2024-01-24T02:46:22.8Z,3,REGULAR,2pt,Jump Shot,['2ndchance'],202685,76.69185282522996,25.98039215686275,1610612740,115,91,2024-01-24T02:47:02Z,5010000,False,-120.0,167.0,1,right,J. Valanciunas 20' Jump Shot (15 PTS) (T. Murphy III 2 AST),"[202685, 1630530]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,20.54,Made,,,,,,,15.0,,,T. Murphy III,1630530.0,2.0,,,,,,
