actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
334,PT00M28.00S,2025-02-05T04:05:03.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,82.7365308804205,38.48039215686275,1610612754,45,38,2025-02-05T04:05:08Z,3270000,False,-58.0,110.0,1,right,P. Siakam 12' turnaround fadeaway Jump Shot (10 PTS),[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,12.4,Made,10.0,,,,,,,,,,,,,,,,,
335,PT00M07.40S,2025-02-05T04:05:26.6Z,2,REGULAR,3pt,Jump Shot,[],1629014,33.196452036793694,21.813725490196077,1610612757,45,38,2025-02-05T04:05:30Z,3280000,False,141.0,260.0,1,left,MISS A. Simons 29' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,29.53,Missed,,,,,,,,,,,,,,,,,,
336,PT00M05.10S,2025-02-05T04:05:29.0Z,2,REGULAR,rebound,defensive,[],1629614,,,1610612754,45,38,2025-02-05T04:05:29Z,3290000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:4),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,335.0,4.0,4.0,0.0,,,,,,,,,,,
337,PT00M01.30S,2025-02-05T04:05:34.0Z,2,REGULAR,turnover,traveling,[],1627783,,,1610612754,45,38,2025-02-05T04:05:40Z,3300000,False,,,0,,P. Siakam traveling TURNOVER (2 TO),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,1629178.0,2.0,,,,,,,,,,,,,,,
338,PT00M00.00S,2025-02-05T04:05:57.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,29.122864651773984,18.38235294117647,1610612757,45,38,2025-02-05T04:19:22Z,3310000,False,158.0,221.0,1,left,MISS D. Avdija 27' turnaround 3PT,[1630166],1610612757.0,POR,turnaround,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,27.2,Missed,,,,,,,,,,,,,,,,,,
339,PT00M00.00S,2025-02-05T04:05:57.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,45,38,2025-02-05T04:19:22Z,3320000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,338.0,,,,,,,,,,,,,,
340,PT00M00.00S,2025-02-05T04:06:00.3Z,2,REGULAR,period,end,[],0,,,1610612757,45,38,2025-02-05T04:06:00Z,3330000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT12M00.00S,2025-02-05T04:20:13.5Z,3,REGULAR,substitution,out,['startperiod'],1630174,,,1610612757,45,38,2025-02-05T04:21:03Z,3340000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT12M00.00S,2025-02-05T04:20:13.5Z,3,REGULAR,substitution,in,['startperiod'],1630169,,,1610612757,45,38,2025-02-05T04:21:03Z,3350000,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2025-02-05T04:21:15.7Z,3,REGULAR,period,start,[],0,,,1610612754,45,38,2025-02-05T04:21:15Z,3360000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT11M42.00S,2025-02-05T04:21:33.1Z,3,REGULAR,2pt,Jump Shot,[],1629614,26.231931668856767,39.950980392156865,1610612754,45,40,2025-02-05T04:21:39Z,3370000,False,50.0,194.0,1,left,A. Nembhard 20' step back Jump Shot (11 PTS),[1629614],1610612754.0,IND,step back,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,20.05,Made,11.0,,,,,,,,,,,,,,,,,
346,PT11M27.00S,2025-02-05T04:21:50.6Z,3,REGULAR,turnover,out-of-bounds,[],1629014,,,1610612757,45,40,2025-02-05T04:21:55Z,3380000,False,,,0,,A. Simons bad pass out-of-bounds TURNOVER (2 TO),[1629014],1610612757.0,POR,bad pass,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,1628159.0,2.0,,,,,,,,,,,,,,,
347,PT11M21.00S,2025-02-05T04:22:07.9Z,3,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612754,45,40,2025-02-05T04:22:18Z,3390000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Nembhard 2 FT),"[1629057, 1629614]",1610612757.0,POR,shooting,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,,1629178.0,,,,,,,,1.0,0.0,Nembhard,1629614.0,,,,,
349,PT11M21.00S,2025-02-05T04:22:34.6Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1629614,,,1610612754,45,41,2025-02-05T04:22:34Z,3410000,False,,,0,,A. Nembhard Free Throw 1 of 2 (12 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
350,PT11M21.00S,2025-02-05T04:22:47.2Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1629614,,,1610612754,45,42,2025-02-05T04:22:47Z,3420000,False,,,0,,A. Nembhard Free Throw 2 of 2 (13 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
351,PT11M10.00S,2025-02-05T04:23:05.6Z,3,REGULAR,foul,personal,[],1631097,,,1610612757,45,42,2025-02-05T04:23:11Z,3430000,False,,,0,,B. Mathurin personal FOUL (2 PF),"[1631097, 1630166]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,,,,101284.0,,,,,,,,2.0,0.0,Avdija,1630166.0,,,,,
356,PT10M58.00S,2025-02-05T04:23:36.0Z,3,REGULAR,2pt,Jump Shot,[],1629057,92.19776609724047,16.42156862745098,1610612757,45,42,2025-02-05T04:23:41Z,3450000,False,-168.0,21.0,1,right,MISS R. Williams III 16' Jump Shot,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Left,16.92,Missed,,,,,,,,,,,,,,,,,,
357,PT10M56.00S,2025-02-05T04:23:38.0Z,3,REGULAR,rebound,defensive,[],1629614,,,1610612754,45,42,2025-02-05T04:23:41Z,3460000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:5),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left,,,,,,356.0,5.0,5.0,0.0,,,,,,,,,,,
358,PT10M45.00S,2025-02-05T04:23:49.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,6.1268068331143235,52.94117647058824,1610612754,45,44,2025-02-05T04:23:55Z,3470000,False,-15.0,5.0,1,left,A. Nembhard reverse Layup (15 PTS) (P. Siakam 1 AST),"[1629614, 1627783]",1610612754.0,IND,reverse,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,1.56,Made,15.0,,,,,,,,,,,,,P. Siakam,1627783.0,1.0,,
360,PT10M30.00S,2025-02-05T04:24:05.0Z,3,REGULAR,3pt,Jump Shot,[],1629014,91.80354796320631,94.85294117647058,1610612757,48,44,2025-02-05T04:24:08Z,3490000,False,224.0,25.0,1,right,A. Simons 3PT  (15 PTS) (J. Grant 1 AST),"[1629014, 203924]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Right Corner 3,24+ Right,22.56,Made,15.0,,,,,,,,,,,,,J. Grant,203924.0,1.0,,
362,PT10M14.00S,2025-02-05T04:24:19.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,17.821944809461236,60.29411764705882,1610612754,48,44,2025-02-05T04:24:24Z,3510000,False,-51.0,115.0,1,left,MISS T. Haliburton 12' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,12.6,Missed,,,,,,,,,,,,,,,,,,
363,PT10M12.00S,2025-02-05T04:24:21.9Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612757,48,44,2025-02-05T04:24:24Z,3520000,False,,,0,,R. Williams III REBOUND (Off:3 Def:5),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,362.0,8.0,5.0,3.0,,,,,,,,,,,
364,PT10M11.00S,2025-02-05T04:24:29.7Z,3,REGULAR,turnover,traveling,[],1630166,,,1610612757,48,44,2025-02-05T04:24:36Z,3530000,False,,,0,,D. Avdija traveling TURNOVER (3 TO),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,1628159.0,3.0,,,,,,,,,,,,,,,
365,PT10M00.00S,2025-02-05T04:24:45.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629614,13.354139290407357,37.5,1610612754,48,44,2025-02-05T04:26:07Z,3540000,False,62.0,73.0,1,left,MISS A. Nembhard 9' driving floating Shot,[1629614],1610612754.0,IND,driving floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Right,9.61,Missed,,,,,,,,,,,,,,,,,,
366,PT09M58.00S,2025-02-05T04:24:47.0Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612757,48,44,2025-02-05T04:24:48Z,3550000,False,,,0,,R. Williams III REBOUND (Off:3 Def:6),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Right,,,,,,365.0,9.0,6.0,3.0,,,,,,,,,,,
367,PT09M49.00S,2025-02-05T04:24:55.4Z,3,REGULAR,3pt,Jump Shot,[],1641739,92.46057818659659,94.6078431372549,1610612757,51,44,2025-02-05T04:25:00Z,3560000,False,223.0,18.0,1,right,T. Camara 3PT  (5 PTS) (A. Simons 3 AST),"[1641739, 1629014]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,22.38,Made,5.0,,,,,,,,,,,,,A. Simons,1629014.0,3.0,,
369,PT09M35.00S,2025-02-05T04:25:10.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,7.178055190538765,59.55882352941176,1610612754,51,44,2025-02-05T04:25:13Z,3580000,False,-48.0,15.0,1,left,MISS A. Nembhard driving Layup - blocked,"[1629614, 1629057]",1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
370,PT09M35.00S,2025-02-05T04:25:10.1Z,3,REGULAR,block,,[],1629057,,,1610612754,51,44,2025-02-05T04:25:12Z,3590000,False,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
371,PT09M32.00S,2025-02-05T04:25:13.1Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612757,51,44,2025-02-05T04:25:13Z,3600000,False,,,0,,R. Williams III REBOUND (Off:3 Def:7),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,369.0,10.0,7.0,3.0,,,,,,,,,,,
372,PT09M29.00S,2025-02-05T04:25:16.0Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1641739,94.95729303547962,95.34313725490196,1610612757,51,44,2025-02-05T04:25:21Z,3610000,False,227.0,-5.0,1,right,MISS T. Camara running 3PT,[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
373,PT09M26.00S,2025-02-05T04:25:19.0Z,3,REGULAR,rebound,offensive,[],1630166,,,1610612757,51,44,2025-02-05T04:33:21Z,3620000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,,,,,,372.0,2.0,1.0,1.0,,,,,,,,,,,
374,PT09M24.00S,2025-02-05T04:25:20.0Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,93.11760840998686,2.450980392156863,1610612757,51,44,2025-02-05T04:25:25Z,3630000,False,-238.0,12.0,1,right,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
375,PT09M24.00S,2025-02-05T04:25:20.0Z,3,REGULAR,rebound,defensive,[],1630169,,,1610612754,51,44,2025-02-05T04:25:25Z,3640000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Left Corner 3,24+ Left,,,,,,374.0,2.0,2.0,0.0,,,,,,,,,,,
376,PT09M16.00S,2025-02-05T04:25:29.8Z,3,REGULAR,foul,personal,['2freethrow'],1629014,,,1610612754,51,44,2025-02-05T04:25:39Z,3650000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Siakam 2 FT),"[1629014, 1627783]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,1.0,0.0,Siakam,1627783.0,,,,,
378,PT09M16.00S,2025-02-05T04:26:05.1Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612754,51,45,2025-02-05T04:30:03Z,3670000,False,,,0,,P. Siakam Free Throw 1 of 2 (11 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
379,PT09M16.00S,2025-02-05T04:26:05.1Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612754,51,46,2025-02-05T04:30:03Z,3680000,False,,,0,,P. Siakam Free Throw 2 of 2 (12 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
380,PT08M58.00S,2025-02-05T04:26:43.9Z,3,REGULAR,3pt,Jump Shot,[],1630166,74.72076215505913,14.460784313725492,1610612757,51,46,2025-02-05T04:26:50Z,3690000,False,-178.0,185.0,1,right,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
381,PT08M57.00S,2025-02-05T04:26:44.9Z,3,REGULAR,rebound,defensive,[],1631097,,,1610612754,51,46,2025-02-05T04:26:50Z,3700000,False,,,0,,B. Mathurin REBOUND (Off:2 Def:5),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,,,380.0,7.0,5.0,2.0,,,,,,,,,,,
382,PT08M57.00S,2025-02-05T04:26:51.3Z,3,REGULAR,foul,offensive,[],1631097,,,1610612754,51,46,2025-02-05T04:27:00Z,3710000,False,,,0,,B. Mathurin offensive FOUL (3 PF),"[1631097, 1641739]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,,,,,,,,3.0,0.0,Camara,1641739.0,,,,,
384,PT08M57.00S,2025-02-05T04:26:51.3Z,3,REGULAR,turnover,offensive foul,[],1631097,,,1610612754,51,46,2025-02-05T04:26:51Z,3730000,False,,,0,,B. Mathurin offensive foul TURNOVER (2 TO),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,2.0,,,,,,,,,,,,,,,
385,PT08M41.00S,2025-02-05T04:27:41.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203924,88.91261498028909,50.245098039215684,1610612757,53,46,2025-02-05T04:31:00Z,3740000,False,1.0,52.0,1,right,J. Grant turnaround fadeaway Jump Shot (11 PTS),[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,11.0,,,,,,,,,,,,,,,,,
386,PT08M32.00S,2025-02-05T04:27:49.7Z,3,REGULAR,3pt,Jump Shot,[],1626167,34.641918528252305,41.42156862745098,1610612754,53,49,2025-02-05T04:27:55Z,3750000,False,43.0,273.0,1,left,M. Turner 27' 3PT  (3 PTS) (T. Haliburton 5 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.64,Made,3.0,,,,,,,,,,,,,T. Haliburton,1630169.0,5.0,,
390,PT08M14.00S,2025-02-05T04:28:30.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,53,49,2025-02-05T04:28:30Z,3790000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT08M14.00S,2025-02-05T04:31:18.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203924,92.32917214191852,53.18627450980392,1610612757,53,49,2025-02-05T04:33:19Z,3810000,False,16.0,20.0,1,right,MISS J. Grant driving DUNK - blocked,"[203924, 1627783]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,Siakam,1627783.0
393,PT08M14.00S,2025-02-05T04:31:18.8Z,3,REGULAR,block,,[],1627783,,,1610612757,53,49,2025-02-05T04:31:23Z,3820000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
394,PT08M14.00S,2025-02-05T04:31:18.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612754,53,49,2025-02-05T04:34:51Z,3830000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,392.0,,,,,,,,,,,,,,
395,PT07M59.00S,2025-02-05T04:31:40.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,18.873193166885677,45.588235294117645,1610612754,53,51,2025-02-05T04:35:09Z,3840000,False,22.0,125.0,1,left,M. Turner 12' pullup Jump Shot (5 PTS) (T. Haliburton 6 AST),"[1626167, 1630169]",1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,12.68,Made,5.0,,,,,,,,,,,,,T. Haliburton,1630169.0,6.0,,
397,PT07M40.00S,2025-02-05T04:31:58.3Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,95.22010512483574,51.470588235294116,1610612757,53,51,2025-02-05T04:32:02Z,3860000,False,7.0,-8.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612757.0,POR,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,1.06,Missed,,,,,,,,,,,,,,,,,,
398,PT07M38.00S,2025-02-05T04:32:00.5Z,3,REGULAR,rebound,defensive,[],1627783,,,1610612754,53,51,2025-02-05T04:32:00Z,3870000,False,,,0,,P. Siakam REBOUND (Off:1 Def:4),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,397.0,5.0,4.0,1.0,,,,,,,,,,,
399,PT07M28.00S,2025-02-05T04:32:12.0Z,3,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612754,53,51,2025-02-05T04:32:31Z,3880000,False,,,0,,T. Camara shooting personal FOUL (3 PF) (Turner 2 FT),"[1641739, 1626167]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,3.0,0.0,Turner,1626167.0,,,,,
401,PT07M28.00S,2025-02-05T04:33:01.1Z,3,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,53,51,2025-02-05T04:33:01Z,3900000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
402,PT07M28.00S,2025-02-05T04:33:01.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,53,51,2025-02-05T04:33:01Z,3910000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,
403,PT07M28.00S,2025-02-05T04:33:02.5Z,3,REGULAR,substitution,out,[],1629014,,,1610612754,53,51,2025-02-05T04:33:08Z,3920000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
404,PT07M28.00S,2025-02-05T04:33:02.5Z,3,REGULAR,substitution,out,[],203924,,,1610612754,53,51,2025-02-05T04:33:08Z,3930000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT07M28.00S,2025-02-05T04:33:02.5Z,3,REGULAR,substitution,in,[],1630703,,,1610612754,53,51,2025-02-05T04:33:08Z,3940000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT07M28.00S,2025-02-05T04:33:02.5Z,3,REGULAR,substitution,in,[],1631101,,,1610612754,53,51,2025-02-05T04:33:08Z,3950000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT07M28.00S,2025-02-05T04:33:22.4Z,3,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,53,52,2025-02-05T04:33:22Z,3960000,False,,,0,,M. Turner Free Throw 2 of 2 (6 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
408,PT07M14.00S,2025-02-05T04:33:44.0Z,3,REGULAR,turnover,traveling,[],1630166,,,1610612757,53,52,2025-02-05T04:33:48Z,3970000,False,,,0,,D. Avdija traveling TURNOVER (4 TO),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,101284.0,4.0,,,,,,,,,,,,,,,
409,PT07M07.00S,2025-02-05T04:34:00.2Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,15.062417871222076,50.98039215686274,1610612754,53,52,2025-02-05T04:34:04Z,3980000,False,-5.0,89.0,1,left,MISS P. Siakam 8' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,8.92,Missed,,,,,,,,,,,,,,,,,,
410,PT07M05.00S,2025-02-05T04:34:02.2Z,3,REGULAR,rebound,defensive,[],1641739,,,1610612757,53,52,2025-02-05T04:34:04Z,3990000,False,,,0,,T. Camara REBOUND (Off:3 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Center,,,,,,409.0,4.0,1.0,3.0,,,,,,,,,,,
411,PT06M57.00S,2025-02-05T04:34:11.1Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.9060446780552,48.529411764705884,1610612757,55,52,2025-02-05T04:34:14Z,4000000,False,-7.0,5.0,1,right,R. Williams III DUNK (2 PTS) (T. Camara 1 AST),"[1629057, 1641739]",1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,,,,,,,,,,,,,T. Camara,1641739.0,1.0,,
413,PT06M37.00S,2025-02-05T04:34:30.3Z,3,REGULAR,2pt,Jump Shot,[],1631097,19.136005256241788,24.754901960784316,1610612754,55,52,2025-02-05T04:34:34Z,4020000,False,126.0,127.0,1,left,MISS B. Mathurin 17' pullup Shot,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,17.93,Missed,,,,,,,,,,,,,,,,,,
414,PT06M35.00S,2025-02-05T04:34:32.3Z,3,REGULAR,rebound,defensive,[],1630166,,,1610612757,55,52,2025-02-05T04:34:34Z,4030000,False,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Right Center,,,,,,413.0,3.0,2.0,1.0,,,,,,,,,,,
415,PT06M27.00S,2025-02-05T04:34:41.9Z,3,REGULAR,3pt,Jump Shot,[],1630166,67.23061760840999,58.82352941176471,1610612757,58,52,2025-02-05T04:34:47Z,4040000,False,44.0,256.0,1,right,D. Avdija 25' 3PT step back (3 PTS),[1630166],1610612757.0,POR,step back,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,25.93,Made,3.0,,,,,,,,,,,,,,,,,
416,PT06M24.00S,2025-02-05T04:34:50.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,58,52,2025-02-05T04:34:50Z,4050000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT06M24.00S,2025-02-05T04:37:09.0Z,3,REGULAR,substitution,out,[],1629057,,,1610612754,58,52,2025-02-05T04:37:39Z,4060000,False,,,0,,SUB out: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT06M24.00S,2025-02-05T04:37:09.0Z,3,REGULAR,substitution,out,[],1631097,,,1610612754,58,52,2025-02-05T04:37:39Z,4070000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT06M24.00S,2025-02-05T04:37:09.0Z,3,REGULAR,substitution,out,[],1627783,,,1610612754,58,52,2025-02-05T04:37:39Z,4080000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
420,PT06M24.00S,2025-02-05T04:37:09.0Z,3,REGULAR,substitution,in,[],1629028,,,1610612754,58,52,2025-02-05T04:37:39Z,4090000,False,,,0,,SUB in: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
421,PT06M24.00S,2025-02-05T04:37:09.0Z,3,REGULAR,substitution,in,[],1630174,,,1610612754,58,52,2025-02-05T04:37:39Z,4100000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
