actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
346,PT00M35.00S,2023-01-05T02:09:00.1Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,72,52,2023-01-05T02:09:01Z,3370000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,345.0,,,4.0,4.0,0.0,,,,,,
347,PT00M33.20S,2023-01-05T02:09:04.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203468,,,1610612745,72,52,2023-01-05T02:09:11Z,3380000,False,,,0,,C. McCollum shooting personal FOUL (2 PF) (Martin Jr. 2 FT),"[203468, 1630231]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,2.0,0.0,Martin Jr.,1630231.0,,,,,,,,,,,,
349,PT00M33.20S,2023-01-05T02:09:26.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630231,,,1610612745,72,52,2023-01-05T02:09:45Z,3400000,False,,,0,,MISS K. Martin Jr. Free Throw 1 of 2,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
350,PT00M33.20S,2023-01-05T02:09:26.3Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,72,52,2023-01-05T02:09:45Z,3410000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,
351,PT00M33.20S,2023-01-05T02:09:26.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630231,,,1610612745,72,52,2023-01-05T02:09:45Z,3420000,False,,,0,,MISS K. Martin Jr. Free Throw 2 of 2,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
352,PT00M31.00S,2023-01-05T02:09:28.5Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,72,52,2023-01-05T02:09:45Z,3430000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,351.0,,,8.0,6.0,2.0,,,,,,
353,PT00M10.00S,2023-01-05T02:10:01.0Z,2,REGULAR,3pt,Jump Shot,[],203468,68.28186596583443,39.46078431372549,1610612740,75,52,2023-01-05T02:10:06Z,3440000,False,-53.0,246.0,1,right,C. McCollum 25' 3PT  (18 PTS) (N. Marshall 2 AST),"[203468, 1630230]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.13,Made,18.0,,,,,,,,,,,,N. Marshall,1630230.0,2.0,,,
355,PT00M02.40S,2023-01-05T02:10:13.8Z,2,REGULAR,3pt,Jump Shot,[],1631095,34.90473061760841,41.911764705882355,1610612745,75,52,2023-01-05T02:11:30Z,3460000,False,40.0,276.0,1,left,MISS J. Smith Jr. 27' pullup 3PT,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,27.85,Missed,,,,,,,,,,,,,,,,,,
356,PT00M02.40S,2023-01-05T02:10:13.8Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612740,75,52,2023-01-05T02:10:25Z,3470000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,355.0,,,2.0,1.0,1.0,,,,,,
357,PT00M00.00S,2023-01-05T02:10:29.2Z,2,REGULAR,period,end,[],0,,,1610612740,75,52,2023-01-05T02:10:29Z,3480000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT12M00.00S,2023-01-05T02:25:01.4Z,3,REGULAR,substitution,out,['startperiod'],1630700,,,1610612740,75,52,2023-01-05T02:25:28Z,3490000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
359,PT12M00.00S,2023-01-05T02:25:01.4Z,3,REGULAR,substitution,out,['startperiod'],1630231,,,1610612740,75,52,2023-01-05T02:25:28Z,3500000,False,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PT12M00.00S,2023-01-05T02:25:01.4Z,3,REGULAR,substitution,in,['startperiod'],1630529,,,1610612740,75,52,2023-01-05T02:25:28Z,3510000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT12M00.00S,2023-01-05T02:25:01.4Z,3,REGULAR,substitution,in,['startperiod'],201569,,,1610612740,75,52,2023-01-05T02:25:28Z,3520000,False,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
362,PT12M00.00S,2023-01-05T02:25:31.0Z,3,REGULAR,period,start,[],0,,,1610612745,75,52,2023-01-05T02:25:31Z,3530000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,PT11M39.00S,2023-01-05T02:25:51.2Z,3,REGULAR,3pt,Jump Shot,[],1631095,71.69842312746385,22.058823529411764,1610612745,75,52,2023-01-05T02:26:02Z,3540000,False,-140.0,214.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
364,PT11M36.00S,2023-01-05T02:25:54.2Z,3,REGULAR,rebound,defensive,[],1630230,,,1610612740,75,52,2023-01-05T02:26:02Z,3550000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,,,,,,,363.0,,,2.0,2.0,0.0,,,,,,
365,PT11M31.00S,2023-01-05T02:25:59.3Z,3,REGULAR,turnover,bad pass,[],1630529,,,1610612740,75,52,2023-01-05T02:26:05Z,3560000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1629645]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0
366,PT11M31.00S,2023-01-05T02:25:59.3Z,3,REGULAR,steal,,[],1629645,,,1610612745,75,52,2023-01-05T02:26:02Z,3570000,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
367,PT11M27.00S,2023-01-05T02:26:04.1Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629645,72.22404730617609,82.59803921568627,1610612745,75,52,2023-01-05T02:26:27Z,3580000,False,163.0,209.0,1,right,MISS K. Porter Jr. 26' running pullup 3PT,[1629645],1610612745.0,HOU,running pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.47,Missed,,,,,,,,,,,,,,,,,,
368,PT11M24.00S,2023-01-05T02:26:07.1Z,3,REGULAR,rebound,defensive,[],1630230,,,1610612740,75,52,2023-01-05T02:26:09Z,3590000,False,,,0,,N. Marshall REBOUND (Off:0 Def:3),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,367.0,,,3.0,3.0,0.0,,,,,,
369,PT11M04.00S,2023-01-05T02:26:25.9Z,3,REGULAR,3pt,Jump Shot,[],203468,29.517082785808146,72.05882352941177,1610612740,75,52,2023-01-05T02:26:54Z,3600000,False,-110.0,225.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
370,PT11M01.00S,2023-01-05T02:26:28.9Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,75,52,2023-01-05T02:26:47Z,3610000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:5),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,369.0,,,5.0,5.0,0.0,,,,,,
371,PT10M54.00S,2023-01-05T02:26:36.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,88.25558475689881,50.49019607843137,1610612745,75,52,2023-01-05T02:26:54Z,3620000,False,2.0,58.0,1,right,MISS K. Porter Jr. driving floating Shot,[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,,,,,,,,,,,,,,
372,PT10M52.00S,2023-01-05T02:26:38.0Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,75,52,2023-01-05T02:26:54Z,3630000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:7),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,371.0,,,9.0,7.0,2.0,,,,,,
373,PT10M44.00S,2023-01-05T02:26:46.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,12.434296977660972,48.529411764705884,1610612740,75,52,2023-01-05T02:27:41Z,3640000,False,7.0,64.0,1,left,MISS N. Marshall 6' driving floating Shot,[1630230],1610612740.0,NOP,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,6.48,Missed,,,,,,,,,,,,,,,,,,
374,PT10M42.00S,2023-01-05T02:26:48.1Z,3,REGULAR,rebound,offensive,[],1630230,,,1610612740,75,52,2023-01-05T02:27:41Z,3650000,False,,,0,,N. Marshall REBOUND (Off:1 Def:3),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,373.0,,,4.0,3.0,1.0,,,,,,
375,PT10M41.00S,2023-01-05T02:26:49.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630230,11.645860709592641,49.26470588235294,1610612740,77,52,2023-01-05T02:28:02Z,3660000,False,4.0,57.0,1,left,N. Marshall floating Jump Shot (13 PTS),[1630230],1610612740.0,NOP,floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,5.71,Made,13.0,,,,,,,,,,,,,,,,,
376,PT10M26.00S,2023-01-05T02:27:03.4Z,3,REGULAR,3pt,Jump Shot,[],1630224,94.56307490144546,95.34313725490196,1610612745,77,52,2023-01-05T02:27:09Z,3670000,False,227.0,-1.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
377,PT10M25.00S,2023-01-05T02:27:04.4Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612745,77,52,2023-01-05T02:27:09Z,3680000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,376.0,,,,,,,,,,,
379,PT10M21.00S,2023-01-05T02:27:33.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629645,93.64323258869908,2.696078431372549,1610612745,77,55,2023-01-05T02:27:39Z,3700000,False,-237.0,7.0,1,right,K. Porter Jr. 3PT step back (9 PTS) (A. Sengun 3 AST),"[1629645, 1630578]",1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,Left Corner 3,24+ Left,23.66,Made,9.0,,,,,,,,,,,,A. Sengun,1630578.0,3.0,,,
381,PT10M05.00S,2023-01-05T02:27:48.7Z,3,REGULAR,3pt,Jump Shot,[],1630530,13.61695137976347,2.941176470588235,1610612740,77,55,2023-01-05T02:27:55Z,3720000,False,235.0,75.0,1,left,MISS T. Murphy III 24' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,24.71,Missed,,,,,,,,,,,,,,,,,,
382,PT10M02.00S,2023-01-05T02:27:51.7Z,3,REGULAR,rebound,offensive,[],202685,,,1610612740,77,55,2023-01-05T02:27:55Z,3730000,False,,,0,,J. Valanciunas REBOUND (Off:3 Def:7),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Right Corner 3,24+ Right,,,,,,,,,381.0,,,10.0,7.0,3.0,,,,,,
383,PT09M56.00S,2023-01-05T02:27:56.9Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],203468,27.677398160315374,78.43137254901961,1610612740,80,55,2023-01-05T02:28:02Z,3740000,False,-142.0,208.0,1,left,C. McCollum 25' 3PT  (21 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.17,Made,21.0,,,,,,,,,,,,J. Valanciunas,202685.0,1.0,,,
385,PT09M38.00S,2023-01-05T02:28:15.8Z,3,REGULAR,3pt,Jump Shot,[],201569,69.20170827858082,72.30392156862744,1610612745,80,58,2023-01-05T02:28:23Z,3760000,False,112.0,237.0,1,right,E. Gordon 26' 3PT  (10 PTS) (J. Green 2 AST),"[201569, 1630224]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,26.19,Made,10.0,,,,,,,,,,,,J. Green,1630224.0,2.0,,,
387,PT09M21.00S,2023-01-05T02:28:32.6Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],202685,8.360709592641262,47.05882352941176,1610612740,80,58,2023-01-05T02:28:39Z,3780000,False,15.0,26.0,1,left,MISS J. Valanciunas Hook,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.0,Missed,,,,,,,,,,,,,,,,,,
388,PT09M16.00S,2023-01-05T02:28:37.1Z,3,REGULAR,rebound,offensive,[],202685,,,1610612740,80,58,2023-01-05T02:28:37Z,3790000,False,,,0,,J. Valanciunas REBOUND (Off:4 Def:7),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,387.0,,,11.0,7.0,4.0,,,,,,
389,PT09M16.00S,2023-01-05T02:28:37.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,5.590000152587891,50.0,1610612740,82,58,2023-01-05T02:28:37Z,3800000,False,0.0,0.0,1,left,J. Valanciunas tip Layup (9 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,9.0,,,,,,,,,,,,,,,,,
390,PT09M06.00S,2023-01-05T02:28:48.1Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,90.62089356110381,45.588235294117645,1610612745,82,58,2023-01-05T02:28:59Z,3810000,False,-22.0,36.0,1,right,MISS A. Sengun cutting DUNK - blocked,"[1630578, 1630530]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.2,Missed,,,,,,,,Murphy III,1630530.0,,,,,,,,,
391,PT09M06.00S,2023-01-05T02:28:48.1Z,3,REGULAR,block,,[],1630530,,,1610612745,82,58,2023-01-05T02:28:51Z,3820000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
392,PT09M02.00S,2023-01-05T02:28:52.1Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,82,58,2023-01-05T02:28:59Z,3830000,False,,,0,,J. Valanciunas REBOUND (Off:4 Def:8),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,390.0,,,12.0,8.0,4.0,,,,,,
393,PT08M59.00S,2023-01-05T02:28:55.1Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630530,9.149145860709593,48.77450980392157,1610612740,84,58,2023-01-05T02:30:03Z,3840000,False,6.0,34.0,1,left,T. Murphy III running reverse DUNK (10 PTS) (N. Marshall 3 AST),"[1630530, 1630230]",1610612740.0,NOP,running reverse,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,3.41,Made,10.0,,,,,,,,,,,,N. Marshall,1630230.0,3.0,,,
395,PT08M59.00S,2023-01-05T02:29:02.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,84,58,2023-01-05T02:29:02Z,3860000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT08M59.00S,2023-01-05T02:30:58.6Z,3,REGULAR,substitution,out,[],1630578,,,1610612745,84,58,2023-01-05T02:31:31Z,3870000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT08M59.00S,2023-01-05T02:30:58.6Z,3,REGULAR,substitution,in,[],1628981,,,1610612745,84,58,2023-01-05T02:31:31Z,3880000,False,,,0,,SUB in: B. Fernando,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT08M45.00S,2023-01-05T02:32:00.2Z,3,REGULAR,3pt,Jump Shot,[],1631095,90.88370565045992,3.1862745098039214,1610612745,84,61,2023-01-05T02:32:06Z,3890000,False,-234.0,33.0,1,right,J. Smith Jr. 3PT  (9 PTS) (K. Porter Jr. 5 AST),"[1631095, 1629645]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,23.64,Made,9.0,,,,,,,,,,,,K. Porter Jr.,1629645.0,5.0,,,
400,PT08M24.00S,2023-01-05T02:32:20.3Z,3,REGULAR,3pt,Jump Shot,[],1630530,33.065045992115635,64.4607843137255,1610612740,84,61,2023-01-05T02:32:26Z,3910000,False,-72.0,258.0,1,left,MISS T. Murphy III 26' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,26.82,Missed,,,,,,,,,,,,,,,,,,
401,PT08M21.00S,2023-01-05T02:32:23.3Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,84,61,2023-01-05T02:32:26Z,3920000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:6),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,400.0,,,6.0,6.0,0.0,,,,,,
402,PT08M04.00S,2023-01-05T02:32:42.4Z,3,REGULAR,foul,personal,['2freethrow'],202685,,,1610612745,84,61,2023-01-05T02:32:49Z,3930000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Fernando 2 FT),"[202685, 1628981]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,1626301.0,1.0,0.0,Fernando,1628981.0,,,,,,,,,,,,
404,PT08M04.00S,2023-01-05T02:33:07.0Z,3,REGULAR,freethrow,1 of 2,[],1628981,,,1610612745,84,62,2023-01-05T02:33:07Z,3950000,False,,,0,,B. Fernando Free Throw 1 of 2 (3 PTS),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
405,PT08M04.00S,2023-01-05T02:33:25.6Z,3,REGULAR,freethrow,2 of 2,[],1628981,,,1610612745,84,63,2023-01-05T02:33:25Z,3960000,False,,,0,,B. Fernando Free Throw 2 of 2 (4 PTS),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
406,PT07M50.00S,2023-01-05T02:33:41.3Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],202685,10.988830486202366,46.81372549019608,1610612740,84,63,2023-01-05T02:33:46Z,3970000,False,16.0,51.0,1,left,MISS J. Valanciunas Hook,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
407,PT07M48.00S,2023-01-05T02:33:43.3Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,84,63,2023-01-05T02:33:46Z,3980000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:7),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,406.0,,,7.0,7.0,0.0,,,,,,
408,PT07M35.00S,2023-01-05T02:33:55.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.06636005256242,53.431372549019606,1610612745,84,63,2023-01-05T02:33:59Z,3990000,False,17.0,22.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
409,PT07M34.00S,2023-01-05T02:33:57.3Z,3,REGULAR,rebound,offensive,[],1630224,,,1610612745,84,63,2023-01-05T02:33:57Z,4000000,False,,,0,,J. Green REBOUND (Off:1 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,408.0,,,4.0,3.0,1.0,,,,,,
410,PT07M32.00S,2023-01-05T02:33:59.1Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],201569,69.16680354796321,75.26807598039215,1610612745,84,63,2023-01-05T02:34:04Z,4010000,False,126.0,237.0,1,right,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,26.88,Missed,,,,,,,,,,,,,,,,,,
411,PT07M29.00S,2023-01-05T02:34:02.1Z,3,REGULAR,rebound,defensive,[],1630529,,,1610612740,84,63,2023-01-05T02:34:04Z,4020000,False,,,0,,H. Jones REBOUND (Off:1 Def:4),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,410.0,,,5.0,4.0,1.0,,,,,,
412,PT07M17.00S,2023-01-05T02:34:14.2Z,3,REGULAR,2pt,Jump Shot,[],202685,12.040078843626807,16.42156862745098,1610612740,84,63,2023-01-05T02:34:19Z,4030000,False,168.0,61.0,1,left,MISS J. Valanciunas 17' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right,17.85,Missed,,,,,,,,,,,,,,,,,,
413,PT07M14.00S,2023-01-05T02:34:17.2Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,84,63,2023-01-05T02:34:19Z,4040000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:8),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,412.0,,,8.0,8.0,0.0,,,,,,
414,PT07M00.00S,2023-01-05T02:34:31.5Z,3,REGULAR,3pt,Jump Shot,[],1630224,67.62483574244416,37.5,1610612745,84,63,2023-01-05T02:34:37Z,4050000,False,-62.0,252.0,1,right,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.94,Missed,,,,,,,,,,,,,,,,,,
415,PT06M55.00S,2023-01-05T02:34:36.5Z,3,REGULAR,rebound,defensive,[],1630230,,,1610612740,84,63,2023-01-05T02:34:37Z,4060000,False,,,0,,N. Marshall REBOUND (Off:1 Def:4),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,,,,,,414.0,,,5.0,4.0,1.0,,,,,,
416,PT06M50.00S,2023-01-05T02:34:42.5Z,3,REGULAR,foul,personal,[],1631095,,,1610612740,84,63,2023-01-05T02:34:56Z,4070000,False,,,0,,J. Smith Jr. personal FOUL (2 PF),"[1631095, 202685]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1626301.0,2.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,
418,PT06M40.00S,2023-01-05T02:35:14.0Z,3,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612740,84,63,2023-01-05T02:35:21Z,4090000,False,,,0,,J. Smith Jr. shooting personal FOUL (3 PF) (Murphy III 2 FT),"[1631095, 1630530]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,3.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,
420,PT06M40.00S,2023-01-05T02:35:41.7Z,3,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,85,63,2023-01-05T02:35:41Z,4110000,False,,,0,,T. Murphy III Free Throw 1 of 2 (11 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
421,PT06M40.00S,2023-01-05T02:36:17.4Z,3,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,86,63,2023-01-05T02:36:17Z,4120000,False,,,0,,T. Murphy III Free Throw 2 of 2 (12 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
422,PT06M17.00S,2023-01-05T02:36:40.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628981,84.97043363994744,51.71568627450981,1610612745,86,63,2023-01-05T02:37:13Z,4130000,False,9.0,89.0,1,right,MISS B. Fernando 8' floating Shot,[1628981],1610612745.0,HOU,floating,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Center,8.92,Missed,,,,,,,,,,,,,,,,,,
423,PT06M15.00S,2023-01-05T02:36:42.5Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,86,63,2023-01-05T02:36:45Z,4140000,False,,,0,,J. Valanciunas REBOUND (Off:4 Def:9),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,422.0,,,13.0,9.0,4.0,,,,,,
424,PT06M02.00S,2023-01-05T02:36:56.5Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],202685,10.200394218134035,51.9607843137255,1610612740,88,63,2023-01-05T02:37:41Z,4150000,False,-10.0,43.0,1,left,J. Valanciunas turnaround Hook (11 PTS) (C. McCollum 3 AST),"[202685, 203468]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,11.0,,,,,,,,,,,,C. McCollum,203468.0,3.0,,,
