actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
422,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,in,[],1630590,,,1610612763,75,80,2025-04-01T01:04:08Z,4210000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
423,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,in,[],1630202,,,1610612763,75,80,2025-04-01T01:04:08Z,4220000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
424,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,in,[],1630573,,,1610612763,75,80,2025-04-01T01:04:08Z,4230000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
425,PT05M54.00S,2025-04-01T01:04:30.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630590,85.89027595269383,42.64705882352941,1610612763,77,80,2025-04-01T01:04:36Z,4240000,False,-37.0,80.0,1,right,S. Pippen Jr. 8' driving floating Jump Shot (4 PTS),[1630590],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.81,Made,4.0,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
426,PT05M40.00S,2025-04-01T01:04:45.1Z,3,REGULAR,3pt,Jump Shot,[],201950,21.50131406044678,8.823529411764707,1610612738,77,83,2025-04-01T01:04:48Z,4250000,False,206.0,150.0,1,left,J. Holiday 25' 3PT  (13 PTS) (S. Hauser 2 AST),"[201950, 1630573]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,25.45,Made,13.0,Holiday,J. Holiday,,,,,,,,,,S. Hauser,1630573.0,2.0,,,,,
428,PT05M29.00S,2025-04-01T01:04:57.8Z,3,REGULAR,foul,personal,[],1630202,,,1610612763,77,83,2025-04-01T01:05:02Z,4270000,False,,,0,,P. Pritchard personal FOUL (3 PF),"[1630202, 1630590]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Pritchard,P. Pritchard,,1146.0,3.0,0.0,Pippen Jr.,1630590.0,,,,,,,,,,,
430,PT05M19.00S,2025-04-01T01:05:25.1Z,3,REGULAR,3pt,Jump Shot,[],1630583,80.50262812089356,92.64705882352942,1610612763,77,83,2025-04-01T01:05:30Z,4290000,False,213.0,131.0,1,right,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.01,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
431,PT05M17.00S,2025-04-01T01:05:27.1Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,77,83,2025-04-01T01:05:30Z,4300000,False,,,0,,J. Tatum REBOUND (Off:2 Def:8),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Tatum,J. Tatum,430.0,,,,,,10.0,8.0,2.0,,,,,,,,
432,PT05M10.00S,2025-04-01T01:05:34.9Z,3,REGULAR,3pt,Jump Shot,[],1628369,33.590670170827856,50.73529411764706,1610612738,77,83,2025-04-01T01:05:39Z,4310000,False,-4.0,263.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,26.33,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
433,PT05M06.00S,2025-04-01T01:05:38.9Z,3,REGULAR,rebound,defensive,[],1630583,,,1610612763,77,83,2025-04-01T01:05:39Z,4320000,False,,,0,,S. Aldama REBOUND (Off:0 Def:4),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Aldama,S. Aldama,432.0,,,,,,4.0,4.0,0.0,,,,,,,,
434,PT04M54.00S,2025-04-01T01:05:50.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,92.32917214191852,43.38235294117647,1610612763,77,83,2025-04-01T01:05:57Z,4330000,False,-33.0,20.0,1,right,MISS S. Pippen Jr. driving Layup - blocked,"[1630590, 1628369]",1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,3.85,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,Tatum,1628369.0
435,PT04M54.00S,2025-04-01T01:05:50.7Z,3,REGULAR,block,,[],1628369,,,1610612763,77,83,2025-04-01T01:05:52Z,4340000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
436,PT04M50.00S,2025-04-01T01:05:54.7Z,3,REGULAR,rebound,defensive,[],1630202,,,1610612738,77,83,2025-04-01T01:05:57Z,4350000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Pritchard,P. Pritchard,434.0,,,,,,3.0,2.0,1.0,,,,,,,,
437,PT04M45.00S,2025-04-01T01:05:59.8Z,3,REGULAR,3pt,Jump Shot,[],201950,22.158344283837057,87.5,1610612738,77,86,2025-04-01T01:06:06Z,4360000,False,-188.0,156.0,1,left,J. Holiday 24' 3PT  (16 PTS) (A. Horford 2 AST),"[201950, 201143]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,24.38,Made,16.0,Holiday,J. Holiday,,,,,,,,,,A. Horford,201143.0,2.0,,,,,
439,PT04M21.00S,2025-04-01T01:06:23.1Z,3,REGULAR,3pt,Jump Shot,[],1630583,67.23061760840999,52.94117647058824,1610612763,80,86,2025-04-01T01:06:27Z,4380000,False,15.0,256.0,1,right,S. Aldama 25' 3PT  (12 PTS) (J. Wells 1 AST),"[1630583, 1642377]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,25.59,Made,12.0,Aldama,S. Aldama,,,,,,,,,,J. Wells,1642377.0,1.0,,,,,
441,PT04M09.00S,2025-04-01T01:06:34.8Z,3,REGULAR,2pt,Jump Shot,[],201950,12.171484888304862,69.36274509803921,1610612738,80,86,2025-04-01T01:06:39Z,4400000,False,-97.0,62.0,1,left,MISS J. Holiday 11' turnaround fadeaway Shot - blocked,"[201950, 1628991]",1610612738.0,BOS,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,11.49,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0
456,PT04M09.00S,2025-04-01T01:06:34.8Z,3,REGULAR,block,,[],1628991,,,1610612738,80,86,2025-04-01T01:09:18Z,4405000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
442,PT04M07.00S,2025-04-01T01:06:36.8Z,3,REGULAR,rebound,defensive,[],1630583,,,1610612763,80,86,2025-04-01T01:06:39Z,4410000,False,,,0,,S. Aldama REBOUND (Off:0 Def:5),[1630583],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Aldama,S. Aldama,441.0,,,,,,5.0,5.0,0.0,,,,,,,,
443,PT03M55.00S,2025-04-01T01:06:49.0Z,3,REGULAR,2pt,Hook,[],1628991,84.1819973718791,74.75490196078431,1610612763,80,86,2025-04-01T01:06:54Z,4420000,False,124.0,96.0,1,right,MISS J. Jackson Jr. 15' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,,,,Mid-Range,8-16 Right,15.68,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
444,PT03M52.00S,2025-04-01T01:06:52.0Z,3,REGULAR,rebound,defensive,[],1630573,,,1610612738,80,86,2025-04-01T01:06:54Z,4430000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Right,,,,Hauser,S. Hauser,443.0,,,,,,2.0,2.0,0.0,,,,,,,,
445,PT03M37.00S,2025-04-01T01:07:07.9Z,3,REGULAR,3pt,Jump Shot,[],1628369,32.40801576872536,24.754901960784316,1610612738,80,86,2025-04-01T01:07:12Z,4440000,False,126.0,252.0,1,left,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,28.19,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
446,PT03M34.00S,2025-04-01T01:07:10.9Z,3,REGULAR,rebound,defensive,[],1630583,,,1610612763,80,86,2025-04-01T01:07:12Z,4450000,False,,,0,,S. Aldama REBOUND (Off:0 Def:6),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,445.0,,,,,,6.0,6.0,0.0,,,,,,,,
447,PT03M26.00S,2025-04-01T01:07:19.2Z,3,REGULAR,3pt,Jump Shot,[],1642377,68.9388961892247,22.30392156862745,1610612763,80,86,2025-04-01T01:07:25Z,4460000,False,-138.0,239.0,1,right,MISS J. Wells 27' 3PT,[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
448,PT03M21.00S,2025-04-01T01:07:24.2Z,3,REGULAR,rebound,defensive,[],1630202,,,1610612738,80,86,2025-04-01T01:15:35Z,4470000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:3),[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Pritchard,P. Pritchard,447.0,,,,,,4.0,3.0,1.0,,,,,,,,
449,PT02M57.00S,2025-04-01T01:07:47.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.521024967148489,55.392156862745104,1610612738,80,88,2025-04-01T01:07:52Z,4480000,False,-27.0,9.0,1,left,J. Tatum driving finger roll Layup (21 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,,,,Restricted Area,0-8 Center,2.84,Made,21.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
450,PT02M43.00S,2025-04-01T01:08:02.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,92.59198423127464,55.14705882352941,1610612763,82,88,2025-04-01T01:08:07Z,4490000,False,26.0,17.0,1,right,J. Wells driving Layup (10 PTS),[1642377],1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,3.09,Made,10.0,Wells,J. Wells,,,,,,,,,,,,,,,,,
451,PT02M32.00S,2025-04-01T01:08:12.7Z,3,REGULAR,3pt,Jump Shot,[],1630573,23.866622864651774,83.08823529411765,1610612738,82,88,2025-04-01T01:08:17Z,4500000,False,-165.0,172.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,23.85,Missed,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
452,PT02M28.00S,2025-04-01T01:08:16.7Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,82,88,2025-04-01T01:08:17Z,4510000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:11),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson Jr.,J. Jackson Jr.,451.0,,,,,,11.0,11.0,0.0,,,,,,,,
453,PT02M23.00S,2025-04-01T01:08:23.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,86.15308804204993,48.28431372549019,1610612763,82,88,2025-04-01T01:09:19Z,4520000,False,-9.0,78.0,1,right,MISS S. Aldama 7' driving floating Shot,[1630583],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.82,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
454,PT02M21.00S,2025-04-01T01:08:25.0Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,82,88,2025-04-01T01:09:19Z,4530000,False,,,0,,A. Horford REBOUND (Off:1 Def:5),[201143],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Horford,A. Horford,453.0,,,,,,6.0,5.0,1.0,,,,,,,,
455,PT02M19.00S,2025-04-01T01:08:31.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,82,88,2025-04-01T01:08:31Z,4540000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,out,[],1642377,,,1610612738,82,88,2025-04-01T01:11:51Z,4550000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
458,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,out,[],1630590,,,1610612738,82,88,2025-04-01T01:11:51Z,4560000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
459,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,out,[],201950,,,1610612738,82,88,2025-04-01T01:11:51Z,4570000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
460,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,in,[],1631246,,,1610612738,82,88,2025-04-01T01:11:51Z,4580000,False,,,0,,SUB in: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,,,,,,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,
461,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,in,[],1629630,,,1610612738,82,88,2025-04-01T01:11:51Z,4590000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
462,PT02M19.00S,2025-04-01T01:10:44.3Z,3,REGULAR,substitution,in,[],1631248,,,1610612738,82,88,2025-04-01T01:11:51Z,4600000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,,,,,,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,
463,PT02M04.00S,2025-04-01T01:12:13.6Z,3,REGULAR,2pt,Jump Shot,[],1628369,27.677398160315374,53.431372549019606,1610612738,82,90,2025-04-01T01:12:20Z,4610000,False,-17.0,208.0,1,left,J. Tatum 20' pullup Jump Shot (23 PTS),[1628369],1610612738.0,BOS,pullup,,,,,,Mid-Range,16-24 Center,20.84,Made,23.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
464,PT01M47.00S,2025-04-01T01:12:29.5Z,3,REGULAR,3pt,Jump Shot,[],1631246,92.59198423127464,95.83333333333334,1610612763,82,90,2025-04-01T01:12:33Z,4620000,False,229.0,17.0,1,right,MISS V. Williams Jr. 3PT,[1631246],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,22.98,Missed,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,
465,PT01M44.00S,2025-04-01T01:12:32.5Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,82,90,2025-04-01T01:12:33Z,4630000,False,,,0,,J. Tatum REBOUND (Off:2 Def:9),[1628369],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,Tatum,J. Tatum,464.0,,,,,,11.0,9.0,2.0,,,,,,,,
466,PT01M39.00S,2025-04-01T01:12:37.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,33.98488830486202,13.970588235294118,1610612738,82,90,2025-04-01T01:12:43Z,4640000,False,180.0,267.0,1,left,MISS P. Pritchard 32' running pullup 3PT,[1630202],1610612738.0,BOS,running pullup,,,,,,Above the Break 3,24+ Right Center,32.21,Missed,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
467,PT01M34.00S,2025-04-01T01:12:42.9Z,3,REGULAR,rebound,defensive,[],1630583,,,1610612763,82,90,2025-04-01T01:12:43Z,4650000,False,,,0,,S. Aldama REBOUND (Off:0 Def:7),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,466.0,,,,,,7.0,7.0,0.0,,,,,,,,
468,PT01M32.00S,2025-04-01T01:12:47.8Z,3,REGULAR,foul,personal,['2freethrow'],201143,,,1610612763,82,90,2025-04-01T01:12:59Z,4660000,False,,,0,,A. Horford shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[201143, 1628991]",1610612738.0,BOS,shooting,,,,,,Restricted Area,0-8 Center,,,,Horford,A. Horford,,200834.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,,
470,PT01M32.00S,2025-04-01T01:13:11.2Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1628991,,,1610612763,82,90,2025-04-01T01:13:11Z,4680000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,,,,,,,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
471,PT01M32.00S,2025-04-01T01:13:11.2Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,82,90,2025-04-01T01:13:11Z,4690000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,,
472,PT01M32.00S,2025-04-01T01:13:24.3Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1628991,,,1610612763,83,90,2025-04-01T01:13:24Z,4700000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (18 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,18.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
473,PT01M13.00S,2025-04-01T01:13:45.2Z,3,REGULAR,2pt,Jump Shot,[],1628369,17.0335085413929,68.13725490196079,1610612738,83,90,2025-04-01T01:13:49Z,4710000,False,-91.0,108.0,1,left,MISS J. Tatum 14' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,14.07,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
474,PT01M10.00S,2025-04-01T01:13:48.2Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,83,90,2025-04-01T01:13:49Z,4720000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:12),[1628991],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Jackson Jr.,J. Jackson Jr.,473.0,,,,,,12.0,12.0,0.0,,,,,,,,
475,PT01M02.00S,2025-04-01T01:13:55.7Z,3,REGULAR,3pt,Jump Shot,[],1629630,67.36202365308804,46.568627450980394,1610612763,83,90,2025-04-01T01:14:00Z,4730000,False,-17.0,254.0,1,right,MISS J. Morant 25' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Center,25.49,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
476,PT01M00.00S,2025-04-01T01:13:57.7Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,83,90,2025-04-01T01:14:00Z,4740000,False,,,0,,J. Tatum REBOUND (Off:2 Def:10),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,475.0,,,,,,12.0,10.0,2.0,,,,,,,,
477,PT00M51.90S,2025-04-01T01:14:06.9Z,3,REGULAR,turnover,bad pass,[],201143,,,1610612738,83,90,2025-04-01T01:14:10Z,4750000,False,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1630583]",1610612738.0,BOS,,,,,,,Mid-Range,16-24 Center,,,,Horford,A. Horford,,,,,,,,,,,,,1.0,Aldama,1630583.0,,
478,PT00M51.90S,2025-04-01T01:14:06.9Z,3,REGULAR,steal,,[],1630583,,,1610612763,83,90,2025-04-01T01:14:08Z,4760000,False,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Center,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
479,PT00M41.70S,2025-04-01T01:14:17.1Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630583,84.57621550591328,41.42156862745098,1610612763,85,90,2025-04-01T01:14:21Z,4770000,False,-43.0,92.0,1,right,S. Aldama 10' floating Jump Shot (14 PTS) (V. Williams Jr. 2 AST),"[1630583, 1631246]",1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.2,Made,14.0,Aldama,S. Aldama,,,,,,,,,,V. Williams Jr.,1631246.0,2.0,,,,,
481,PT00M31.50S,2025-04-01T01:14:34.3Z,3,REGULAR,3pt,Jump Shot,[],1630202,36.87582128777924,49.754901960784316,1610612738,85,90,2025-04-01T01:14:38Z,4790000,False,1.0,294.0,1,left,MISS P. Pritchard 29' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Center,29.41,Missed,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
482,PT00M28.30S,2025-04-01T01:14:37.5Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,85,90,2025-04-01T01:14:38Z,4800000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:13),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Jackson Jr.,J. Jackson Jr.,481.0,,,,,,13.0,13.0,0.0,,,,,,,,
483,PT00M23.40S,2025-04-01T01:14:43.4Z,3,REGULAR,turnover,out-of-bounds,[],1630583,,,1610612763,85,90,2025-04-01T01:14:49Z,4810000,False,,,0,,S. Aldama bad pass out-of-bounds TURNOVER (2 TO),[1630583],1610612763.0,MEM,bad pass,,,,,,Mid-Range,16-24 Right Center,,,,Aldama,S. Aldama,,1146.0,,,,,,,,,,,2.0,,,,
484,PT00M00.00S,2025-04-01T01:15:15.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201143,7.5722733245729295,42.64705882352941,1610612738,85,92,2025-04-01T01:15:22Z,4820000,False,37.0,19.0,1,left,A. Horford Layup (20 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,4.13,Made,20.0,Horford,A. Horford,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,
486,PT00M00.00S,2025-04-01T01:15:18.5Z,3,REGULAR,period,end,[],0,,,1610612763,85,92,2025-04-01T01:15:18Z,4840000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,PT12M00.00S,2025-04-01T01:16:09.8Z,4,REGULAR,substitution,out,['startperiod'],1628369,,,1610612763,85,92,2025-04-01T01:18:41Z,4850000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
489,PT12M00.00S,2025-04-01T01:16:09.8Z,4,REGULAR,substitution,out,['startperiod'],1631248,,,1610612763,85,92,2025-04-01T01:18:41Z,4860000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,,,,,,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,
490,PT12M00.00S,2025-04-01T01:16:09.8Z,4,REGULAR,substitution,in,['startperiod'],1628401,,,1610612763,85,92,2025-04-01T01:18:41Z,4870000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,
491,PT12M00.00S,2025-04-01T01:16:09.8Z,4,REGULAR,substitution,in,['startperiod'],204001,,,1610612763,85,92,2025-04-01T01:18:41Z,4880000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
492,PT12M00.00S,2025-04-01T01:19:02.5Z,4,REGULAR,period,start,[],0,,,1610612763,85,92,2025-04-01T01:19:02Z,4890000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,PT11M43.00S,2025-04-01T01:19:18.5Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,84.97043363994744,45.83333333333333,1610612763,87,92,2025-04-01T01:19:22Z,4900000,False,-21.0,89.0,1,right,J. Jackson Jr. 9' driving floating Jump Shot (20 PTS),[1628991],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.12,Made,20.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
494,PT11M30.00S,2025-04-01T01:19:31.5Z,4,REGULAR,3pt,Jump Shot,[],204001,34.11629434954008,36.76470588235294,1610612738,87,92,2025-04-01T01:19:36Z,4910000,False,66.0,268.0,1,left,MISS K. Porziņģis 27' 3PT,[204001],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,27.62,Missed,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
495,PT11M26.00S,2025-04-01T01:19:35.2Z,4,REGULAR,rebound,offensive,[],1630202,,,1610612738,87,92,2025-04-01T01:19:35Z,4920000,False,,,0,,P. Pritchard REBOUND (Off:2 Def:3),[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Pritchard,P. Pritchard,494.0,,,,,,5.0,3.0,2.0,,,,,,,,
496,PT11M25.00S,2025-04-01T01:19:36.6Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,31.750985545335087,61.51960784313726,1610612738,87,92,2025-04-01T01:19:52Z,4930000,False,-58.0,246.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,25.27,Missed,,White,D. White,,,,,,,,,,,,,,,,,
497,PT11M25.00S,2025-04-01T01:19:36.6Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612763,87,92,2025-04-01T01:19:52Z,4940000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,,,496.0,,,,,,,,,,,,,,,,
499,PT11M07.00S,2025-04-01T01:20:00.5Z,4,REGULAR,3pt,Jump Shot,[],1630583,75.3777923784494,86.51960784313727,1610612763,87,92,2025-04-01T01:20:05Z,4960000,False,183.0,179.0,1,right,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.56,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
500,PT11M07.00S,2025-04-01T01:20:00.5Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612738,87,92,2025-04-01T01:20:05Z,4970000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,,,499.0,,,,,,,,,,,,,,,,
