actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
353,PT08M42.00S,2022-01-29T02:23:46.9Z,3,REGULAR,rebound,offensive,[],1630537,,,1610612754,64,51,2022-01-29T02:23:46Z,3490000,,,0,,C. Duarte REBOUND (Off:1 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,352.0,2.0,1.0,1.0,,,,,,,,,,,,,,
354,PT08M39.00S,2022-01-29T02:23:50.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1627734,31.35676741130092,68.38235294117648,1610612754,64,51,2022-01-29T02:23:55Z,3500000,-92.0,242.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
355,PT08M35.00S,2022-01-29T02:23:54.7Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,64,51,2022-01-29T02:23:55Z,3510000,,,0,,J. Giddey REBOUND (Off:1 Def:5),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,354.0,6.0,5.0,1.0,,,,,,,,,,,,,,
356,PT08M24.00S,2022-01-29T02:24:04.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,91.5407358738502,54.90196078431373,1610612760,66,51,2022-01-29T02:28:42Z,3520000,25.0,27.0,1,right,T. Maledon driving finger roll Layup (2 PTS) (L. Dort 2 AST),"[1630177, 1629652]",1610612760.0,OKC,driving finger roll,,,Maledon,T. Maledon,,,,,3.65,Made,2.0,,,,,L. Dort,1629652.0,2.0,,,,,,,,,,,
358,PT08M08.00S,2022-01-29T02:24:20.6Z,3,REGULAR,3pt,Jump Shot,[],1627747,17.427726675427067,94.11764705882352,1610612754,66,51,2022-01-29T02:24:30Z,3540000,-221.0,111.0,1,left,MISS C. LeVert 24' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,24.71,Missed,,,,,,,,,,,,,,,,,,,
359,PT08M05.00S,2022-01-29T02:24:23.7Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,66,51,2022-01-29T02:24:23Z,3550000,,,0,,J. Giddey REBOUND (Off:1 Def:6),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,358.0,7.0,6.0,1.0,,,,,,,,,,,,,,
360,PT07M58.00S,2022-01-29T02:24:30.5Z,3,REGULAR,3pt,Jump Shot,[],203488,67.36202365308804,78.67647058823529,1610612760,66,51,2022-01-29T02:24:34Z,3560000,143.0,254.0,1,right,MISS M. Muscala 29' 3PT,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,29.19,Missed,,,,,,,,,,,,,,,,,,,
361,PT07M54.00S,2022-01-29T02:24:34.5Z,3,REGULAR,rebound,defensive,[],1630537,,,1610612754,66,51,2022-01-29T02:24:34Z,3570000,,,0,,C. Duarte REBOUND (Off:1 Def:2),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,360.0,3.0,2.0,1.0,,,,,,,,,,,,,,
362,PT07M46.00S,2022-01-29T02:24:43.2Z,3,REGULAR,turnover,bad pass,[],1627734,,,1610612754,66,51,2022-01-29T02:24:46Z,3580000,,,0,,D. Sabonis bad pass TURNOVER (4 TO),"[1627734, 1629652]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,4.0,Dort,1629652.0,,,,,,,,
363,PT07M46.00S,2022-01-29T02:24:43.2Z,3,REGULAR,steal,,[],1629652,,,1610612760,66,51,2022-01-29T02:24:44Z,3590000,,,0,,L. Dort STEAL (2 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT07M41.00S,2022-01-29T02:24:48.0Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630581,90.75229960578186,55.88235294117647,1610612760,66,51,2022-01-29T02:29:43Z,3600000,29.0,34.0,1,right,MISS J. Giddey running Layup - blocked,"[1630581, 1628470]",1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,4.53,Missed,,,,,,,,,,,,Craig,1628470.0,,,,,,
365,PT07M41.00S,2022-01-29T02:24:48.0Z,3,REGULAR,block,,[],1628470,,,1610612760,66,51,2022-01-29T02:24:50Z,3610000,,,0,,T. Craig BLOCK (1 BLK),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT07M38.00S,2022-01-29T02:24:51.0Z,3,REGULAR,rebound,defensive,[],1627747,,,1610612754,66,51,2022-01-29T02:24:55Z,3620000,,,0,,C. LeVert REBOUND (Off:1 Def:4),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,364.0,5.0,4.0,1.0,,,,,,,,,,,,,,
367,PT07M36.00S,2022-01-29T02:24:53.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,20.97568988173456,92.15686274509804,1610612754,66,54,2022-01-29T02:30:12Z,3630000,-211.0,145.0,1,left,C. Duarte 25' 3PT running (5 PTS) (C. LeVert 2 AST),"[1630537, 1627747]",1610612754.0,IND,running,,,Duarte,C. Duarte,,,,,25.57,Made,5.0,,,,,C. LeVert,1627747.0,2.0,,,,,,,,,,,
369,PT07M29.00S,2022-01-29T02:25:02.5Z,3,REGULAR,foul,offensive,[],1629652,,,1610612760,66,54,2022-01-29T02:30:52Z,3650000,,,0,,L. Dort charge offensive FOUL (2 PF),"[1629652, 203200]",1610612760.0,OKC,charge,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,Holiday,203200.0,
371,PT07M29.00S,2022-01-29T02:25:02.5Z,3,REGULAR,turnover,offensive foul,[],1629652,,,1610612760,66,54,2022-01-29T02:25:02Z,3670000,,,0,,L. Dort offensive foul TURNOVER (1 TO),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,1.0,,,,,202037.0,,,,,
372,PT07M14.00S,2022-01-29T02:25:36.4Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1627734,24.52365308804205,42.8921568627451,1610612754,66,54,2022-01-29T02:25:42Z,3680000,36.0,178.0,1,left,MISS D. Sabonis 18' Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,18.15,Missed,,,,,,,,,,,,,,,,,,,
373,PT07M11.00S,2022-01-29T02:25:39.4Z,3,REGULAR,rebound,defensive,[],203488,,,1610612760,66,54,2022-01-29T02:25:42Z,3690000,,,0,,M. Muscala REBOUND (Off:0 Def:1),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,372.0,1.0,1.0,0.0,,,,,,,,,,,,,,
374,PT07M00.00S,2022-01-29T02:25:50.6Z,3,REGULAR,3pt,Jump Shot,[],1630581,66.04796320630749,47.30392156862745,1610612760,69,54,2022-01-29T02:25:54Z,3700000,-13.0,267.0,1,right,J. Giddey 26' 3PT  (9 PTS) (L. Dort 3 AST),"[1630581, 1629652]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,26.69,Made,9.0,,,,,L. Dort,1629652.0,3.0,,,,,,,,,,,
457,PT06M44.00S,2022-01-29T02:26:10.5Z,3,REGULAR,turnover,offensive goaltending,[],1627747,,,1610612754,69,54,2022-01-29T02:44:37Z,3726250,,,0,,C. LeVert offensive goaltending TURNOVER (2 TO),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,2.0,,,,,200834.0,,,,,
394,PT06M44.00S,2022-01-29T02:26:30.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,69,54,2022-01-29T02:44:37Z,3742500,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,PT06M44.00S,2022-01-29T02:26:48.9Z,3,REGULAR,instantreplay,challenge,[],0,,,1610612760,69,54,2022-01-29T02:44:37Z,3750000,,,0,,,[],1610612760.0,OKC,overturned,,,,,,,,,,,,,,,,,,,,,,,,200834.0,,,,,Basket Interference on C. LeVert
386,PT06M44.00S,2022-01-29T02:29:36.0Z,3,REGULAR,substitution,out,[],203200,,,1610612760,69,54,2022-01-29T02:44:37Z,3755000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
387,PT06M44.00S,2022-01-29T02:29:36.0Z,3,REGULAR,substitution,out,[],1628470,,,1610612760,69,54,2022-01-29T02:44:37Z,3757500,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
388,PT06M44.00S,2022-01-29T02:29:36.0Z,3,REGULAR,substitution,in,[],203087,,,1610612760,69,54,2022-01-29T02:44:37Z,3758750,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
389,PT06M44.00S,2022-01-29T02:29:36.0Z,3,REGULAR,substitution,in,[],1629052,,,1610612760,69,54,2022-01-29T02:44:37Z,3759375,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
381,PT06M36.00S,2022-01-29T02:30:22.5Z,3,REGULAR,foul,personal,[],1627747,,,1610612760,69,54,2022-01-29T02:44:37Z,3760000,,,0,,C. LeVert personal FOUL (2 PF),"[1627747, 1630581]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Giddey,1630581.0,
383,PT06M35.00S,2022-01-29T02:30:35.8Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,69,54,2022-01-29T02:30:22Z,3780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,PT06M19.00S,2022-01-29T02:31:27.4Z,3,REGULAR,turnover,bad pass,[],1630544,,,1610612760,69,54,2022-01-29T02:31:32Z,3790000,,,0,,T. Mann bad pass TURNOVER (2 TO),"[1630544, 1627747]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,2.0,LeVert,1627747.0,,,,,,,,
385,PT06M19.00S,2022-01-29T02:31:27.4Z,3,REGULAR,steal,,[],1627747,,,1610612754,69,54,2022-01-29T02:31:29Z,3800000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
390,PT06M06.00S,2022-01-29T02:31:44.1Z,3,REGULAR,2pt,DUNK,['fromturnover'],1627734,22.158344283837057,66.91176470588235,1610612754,69,54,2022-01-29T02:35:06Z,3850000,-85.0,156.0,1,left,MISS D. Sabonis 17' DUNK,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,17.73,Missed,,,,,,,,,,,,,,,,,,,
391,PT06M03.00S,2022-01-29T02:31:47.1Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,69,54,2022-01-29T02:35:06Z,3860000,,,0,,L. Dort REBOUND (Off:2 Def:5),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,390.0,7.0,5.0,2.0,,,,,,,,,,,,,,
392,PT06M02.00S,2022-01-29T02:32:01.5Z,3,REGULAR,foul,personal,[],1629052,,,1610612760,69,54,2022-01-29T02:36:02Z,3870000,,,0,,O. Brissett take personal FOUL (2 PF),"[1629052, 1629652]",1610612754.0,IND,take,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Dort,1629652.0,
396,PT06M02.00S,2022-01-29T02:32:51.3Z,3,REGULAR,instantreplay,request,[],0,,,1610612760,69,54,2022-01-29T02:33:25Z,3900000,,,0,,,[],,,stands,,,,,,,,,,,,,,,,,,,,,,,,200834.0,,,,,Common Foul Upheld
397,PT06M02.00S,2022-01-29T02:33:29.0Z,3,REGULAR,substitution,out,[],1627734,,,1610612760,69,54,2022-01-29T02:33:48Z,3910000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT06M02.00S,2022-01-29T02:33:29.0Z,3,REGULAR,substitution,in,[],1630678,,,1610612760,69,54,2022-01-29T02:33:48Z,3920000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
399,PT05M46.00S,2022-01-29T02:33:55.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203087,,,1610612760,69,54,2022-01-29T02:34:07Z,3930000,,,0,,J. Lamb personal FOUL (1 PF) (Maledon 2 FT),"[203087, 1630177]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Maledon,1630177.0,
401,PT05M46.00S,2022-01-29T02:34:17.3Z,3,REGULAR,freethrow,1 of 2,[],1630177,,,1610612760,69,54,2022-01-29T02:34:17Z,3950000,,,0,,MISS T. Maledon Free Throw 1 of 2,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,Missed,,,,,,,,,,,,,,,,,,,
402,PT05M46.00S,2022-01-29T02:34:17.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,69,54,2022-01-29T02:34:17Z,3960000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,
403,PT05M46.00S,2022-01-29T02:34:21.7Z,3,REGULAR,substitution,out,[],203488,,,1610612760,69,54,2022-01-29T02:34:26Z,3970000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
404,PT05M46.00S,2022-01-29T02:34:21.7Z,3,REGULAR,substitution,in,[],1629603,,,1610612760,69,54,2022-01-29T02:34:26Z,3980000,,,0,,SUB in: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT05M46.00S,2022-01-29T02:34:35.7Z,3,REGULAR,freethrow,2 of 2,[],1630177,,,1610612760,70,54,2022-01-29T02:34:35Z,3990000,,,0,,T. Maledon Free Throw 2 of 2 (3 PTS),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
406,PT05M29.00S,2022-01-29T02:34:53.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.440867279894875,59.068627450980394,1610612754,70,54,2022-01-29T02:46:43Z,4000000,-45.0,17.0,1,left,MISS C. LeVert driving Layup,[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,4.85,Missed,,,,,,,,,,,,,,,,,,,
407,PT05M24.00S,2022-01-29T02:34:58.2Z,3,REGULAR,rebound,offensive,[],1630678,,,1610612754,70,54,2022-01-29T02:34:59Z,4010000,,,0,,T. Taylor REBOUND (Off:2 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,406.0,3.0,1.0,2.0,,,,,,,,,,,,,,
408,PT05M24.00S,2022-01-29T02:34:57.8Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630678,5.590000152587891,50.0,1610612754,70,56,2022-01-29T02:47:32Z,4020000,0.0,0.0,1,left,T. Taylor tip Layup (6 PTS),[1630678],1610612754.0,IND,tip,,,Taylor,T. Taylor,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,,,
409,PT05M03.00S,2022-01-29T02:35:19.0Z,3,REGULAR,3pt,Jump Shot,[],1630544,71.43561103810775,21.568627450980394,1610612760,70,56,2022-01-29T02:35:25Z,4030000,-142.0,216.0,1,right,MISS T. Mann 25' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
410,PT05M00.00S,2022-01-29T02:35:22.0Z,3,REGULAR,rebound,offensive,[],1629603,,,1610612760,70,56,2022-01-29T02:35:25Z,4040000,,,0,,M. Diakite REBOUND (Off:1 Def:1),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,409.0,2.0,1.0,1.0,,,,,,,,,,,,,,
411,PT04M56.00S,2022-01-29T02:35:26.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,76.16622864651774,88.97058823529412,1610612760,70,56,2022-01-29T02:35:31Z,4050000,195.0,172.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
412,PT04M53.00S,2022-01-29T02:35:29.7Z,3,REGULAR,rebound,defensive,[],1630678,,,1610612754,70,56,2022-01-29T02:35:31Z,4060000,,,0,,T. Taylor REBOUND (Off:2 Def:2),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,411.0,4.0,2.0,2.0,,,,,,,,,,,,,,
414,PT04M42.00S,2022-01-29T02:35:55.2Z,3,REGULAR,foul,personal,[],1629603,,,1610612754,70,56,2022-01-29T02:36:01Z,4080000,,,0,,M. Diakite personal FOUL (3 PF),"[1629603, 1630678]",1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,202037.0,3.0,0.0,Taylor,1630678.0,
416,PT04M36.00S,2022-01-29T02:36:04.5Z,3,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612754,70,56,2022-01-29T02:36:17Z,4100000,,,0,,L. Dort shooting personal FOUL (3 PF) (LeVert 2 FT),"[1629652, 1627747]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,1626301.0,3.0,0.0,LeVert,1627747.0,
418,PT04M36.00S,2022-01-29T02:36:31.6Z,3,REGULAR,freethrow,1 of 2,[],1627747,,,1610612754,70,56,2022-01-29T02:36:31Z,4120000,,,0,,MISS C. LeVert Free Throw 1 of 2,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Missed,,,,,,,,,,,,,,,,,,,
419,PT04M36.00S,2022-01-29T02:36:31.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,70,56,2022-01-29T02:36:31Z,4130000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,
420,PT04M36.00S,2022-01-29T02:36:45.4Z,3,REGULAR,freethrow,2 of 2,[],1627747,,,1610612754,70,57,2022-01-29T02:36:45Z,4140000,,,0,,C. LeVert Free Throw 2 of 2 (3 PTS),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
421,PT04M20.00S,2022-01-29T02:37:06.8Z,3,REGULAR,turnover,3-second-violation,[],1629603,,,1610612760,70,57,2022-01-29T02:37:28Z,4150000,,,0,,M. Diakite 3-second-violation TURNOVER (1 TO),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,1.0,,,,,200834.0,,,,,
422,PT04M11.00S,2022-01-29T02:37:27.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627747,9.149145860709593,44.11764705882353,1610612754,70,57,2022-01-29T02:50:16Z,4160000,29.0,34.0,1,left,MISS C. LeVert driving Layup - blocked,"[1627747, 1629603]",1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,4.46,Missed,,,,,,,,,,,,Diakite,1629603.0,,,,,,
423,PT04M11.00S,2022-01-29T02:37:27.7Z,3,REGULAR,block,,[],1629603,,,1610612754,70,57,2022-01-29T02:37:30Z,4170000,,,0,,M. Diakite BLOCK (1 BLK),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
424,PT04M07.00S,2022-01-29T02:37:31.7Z,3,REGULAR,rebound,offensive,[],1630678,,,1610612754,70,57,2022-01-29T02:37:36Z,4180000,,,0,,T. Taylor REBOUND (Off:3 Def:2),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,422.0,5.0,2.0,3.0,,,,,,,,,,,,,,
425,PT04M06.00S,2022-01-29T02:37:31.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630678,10.85742444152431,44.85294117647059,1610612754,70,59,2022-01-29T02:37:39Z,4190000,26.0,50.0,1,left,T. Taylor putback Layup (8 PTS),[1630678],1610612754.0,IND,putback,,,Taylor,T. Taylor,,,,,5.59,Made,8.0,,,,,,,,,,,,,,,,,,
426,PT03M50.00S,2022-01-29T02:37:47.8Z,3,REGULAR,3pt,Jump Shot,[],1630544,65.39093298291722,46.07843137254902,1610612760,70,59,2022-01-29T02:37:55Z,4200000,-20.0,273.0,1,right,MISS T. Mann 27' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,27.35,Missed,,,,,,,,,,,,,,,,,,,
427,PT03M44.00S,2022-01-29T02:37:53.8Z,3,REGULAR,rebound,defensive,[],1630537,,,1610612754,70,59,2022-01-29T02:37:55Z,4210000,,,0,,C. Duarte REBOUND (Off:1 Def:3),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,426.0,4.0,3.0,1.0,,,,,,,,,,,,,,
428,PT03M38.00S,2022-01-29T02:38:01.6Z,3,REGULAR,foul,personal,['2freethrow'],1629603,,,1610612754,70,59,2022-01-29T02:38:07Z,4220000,,,0,,M. Diakite shooting personal FOUL (4 PF) (Brissett 2 FT),"[1629603, 1629052]",1610612760.0,OKC,shooting,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,200834.0,4.0,0.0,Brissett,1629052.0,
430,PT03M38.00S,2022-01-29T02:38:28.8Z,3,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,70,60,2022-01-29T02:38:28Z,4240000,,,0,,O. Brissett Free Throw 1 of 2 (4 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
431,PT03M38.00S,2022-01-29T02:38:29.3Z,3,REGULAR,substitution,out,[],1630581,,,1610612754,70,60,2022-01-29T02:38:36Z,4250000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
432,PT03M38.00S,2022-01-29T02:38:29.3Z,3,REGULAR,substitution,out,[],1630177,,,1610612754,70,60,2022-01-29T02:38:36Z,4260000,,,0,,SUB out: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
433,PT03M38.00S,2022-01-29T02:38:29.3Z,3,REGULAR,substitution,in,[],1629647,,,1610612754,70,60,2022-01-29T02:38:36Z,4270000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
434,PT03M38.00S,2022-01-29T02:38:29.3Z,3,REGULAR,substitution,in,[],1629026,,,1610612754,70,60,2022-01-29T02:38:36Z,4280000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT03M38.00S,2022-01-29T02:38:52.7Z,3,REGULAR,freethrow,2 of 2,[],1629052,,,1610612754,70,61,2022-01-29T02:38:52Z,4290000,,,0,,O. Brissett Free Throw 2 of 2 (5 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
436,PT03M28.00S,2022-01-29T02:39:08.9Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627747,,,1610612760,70,61,2022-01-29T02:39:24Z,4300000,,,0,,C. LeVert personal FOUL (3 PF) (Dort 2 FT),"[1627747, 1629652]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,200834.0,3.0,0.0,Dort,1629652.0,
438,PT03M28.00S,2022-01-29T02:39:32.8Z,3,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,71,61,2022-01-29T02:39:32Z,4320000,,,0,,L. Dort Free Throw 1 of 2 (14 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
439,PT03M28.00S,2022-01-29T02:39:52.2Z,3,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,72,61,2022-01-29T02:39:52Z,4330000,,,0,,L. Dort Free Throw 2 of 2 (15 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
440,PT03M19.00S,2022-01-29T02:40:04.5Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630544,,,1610612754,72,61,2022-01-29T02:40:17Z,4340000,,,0,,T. Mann shooting personal FOUL (3 PF) (Lamb 2 FT),"[1630544, 203087]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,200834.0,3.0,0.0,Lamb,203087.0,
442,PT03M19.00S,2022-01-29T02:40:27.7Z,3,REGULAR,freethrow,1 of 2,[],203087,,,1610612754,72,62,2022-01-29T02:40:27Z,4360000,,,0,,J. Lamb Free Throw 1 of 2 (5 PTS),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
443,PT03M19.00S,2022-01-29T02:40:42.0Z,3,REGULAR,freethrow,2 of 2,[],203087,,,1610612754,72,63,2022-01-29T02:40:42Z,4370000,,,0,,J. Lamb Free Throw 2 of 2 (6 PTS),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
444,PT03M05.00S,2022-01-29T02:41:01.6Z,3,REGULAR,turnover,traveling,[],1630544,,,1610612760,72,63,2022-01-29T02:41:08Z,4380000,,,0,,T. Mann traveling TURNOVER (3 TO),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,3.0,,,,,200834.0,,,,,
445,PT02M53.00S,2022-01-29T02:41:25.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629603,,,1610612754,72,63,2022-01-29T02:57:23Z,4390000,,,0,,M. Diakite shooting personal FOUL (5 PF) (LeVert 2 FT),"[1629603, 1627747]",1610612760.0,OKC,shooting,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,200834.0,5.0,0.0,LeVert,1627747.0,
448,PT02M53.00S,2022-01-29T02:41:48.0Z,3,REGULAR,timeout,challenge,['team'],0,,,1610612754,72,63,2022-01-29T02:56:31Z,4420000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
